Geneid,C_1,C_2,C_3,WT_1,WT_2,WT_3,G_1,G_2,G_3
MYCTH_2294274,778,1126,830,9140,12135,10445,12429,11424,12936
MYCTH_2073127,2495,4050,3611,2501,3420,2838,4770,5264,5608
MYCTH_2122065,12,12,9,229,249,194,471,452,571
MYCTH_2055311,580,927,805,2879,3799,3292,7547,7429,8609
MYCTH_2294281,968,1641,1496,2856,3606,3347,3026,3135,3062
MYCTH_43671,1388,2116,1949,123828,159784,140052,16999,16819,18819
MYCTH_2073132,1115,1784,1731,2865,3686,2925,5125,4563,5053
MYCTH_2294289,382,664,598,398,477,426,474,551,732
MYCTH_90789,44,74,81,252,372,247,297,453,412
MYCTH_2294293,412,665,663,995,1267,1214,1369,1096,1373
MYCTH_2122073,8301,13577,12432,20568,25938,22875,30001,30299,32781
MYCTH_2294298,1571,2471,2287,2935,3663,2983,2897,2953,3232
MYCTH_2294300,596,882,783,2893,3603,2704,3377,3263,3259
MYCTH_2122076,15,19,11,62,64,40,69,88,72
MYCTH_2294303,1394,2284,2054,10499,13244,11272,11240,10797,12748
MYCTH_2313301,1884,3210,2677,5761,7504,6525,9910,10345,10954
MYCTH_2074571,662,1083,1179,2759,3771,3104,4708,4611,5344
MYCTH_2106095,202,305,328,337,371,340,501,441,459
MYCTH_2294307,382,632,545,394,435,510,996,1039,1166
MYCTH_2294309,1170,1854,1996,3311,4215,3539,1269,1287,1355
MYCTH_2294310,336,497,527,1923,3290,1898,2338,2321,2569
MYCTH_2313303,4056,6630,6200,15234,20127,16498,26254,27606,30250
MYCTH_2294314,650,1084,1027,1276,1630,1272,1816,2256,1799
MYCTH_2313305,5072,8823,8465,33099,41814,35929,62882,62389,67422
MYCTH_2294321,5298,8693,8574,24597,31928,27500,33575,34303,38149
MYCTH_2294324,341,560,611,749,1076,1000,2239,2119,2304
