Geneid,C1_1,C1_2,C1_3,C2_1,C2_2,C2_3,T1_1,T1_2,T1_3,T2_1,T2_2,T2_3
MYCTH_2114025,1.95,2.48,3.82,5.18,4.85,7.03,0.87,2.21,3.11,2.71,3.07,1.78
MYCTH_2293935,0.74,0.88,0.68,0.62,1.49,1.22,0.48,0.17,0.08,0.37,0.93,0.51
MYCTH_2293936,0.21,0.78,0.36,0.1,0.33,0.5,0.3,0.16,0.68,0.47,0.63,1.24
MYCTH_2051335,3.12,5.7,4.05,7.27,7.43,7.11,3.31,3.09,3.8,4.67,4.45,4.66
MYCTH_2121898,0,0.02,0.01,0,0,0.01,0.01,0.01,0.01,0,0.01,0.02
MYCTH_2293939,4.22,4.53,5.14,15.77,16.76,18.73,5.41,2.36,9.58,7.63,10.09,11.59
MYCTH_2293942,4.69,4.56,4.2,46.22,45.62,46.34,8.93,8.87,11.09,27.87,28.9,27.48
MYCTH_61543,885.82,945.33,1118.25,393.36,264.61,204.5,783.63,616.29,353.49,1295.69,1267.4,1432.11
MYCTH_2293944,13.01,11.29,11.3,18.61,16.93,16.76,8.92,8.97,9.25,13.32,12.25,14.42
MYCTH_98562,42.28,42.51,44.79,118.44,123.46,122.4,49.48,49.84,36.75,82.89,81.85,73.25
MYCTH_2105956,0.95,0.82,0.68,0.57,0.73,0.67,1.08,1.03,0.71,0.57,0.84,0.89
MYCTH_2293947,53.08,55.12,55.37,74.44,72.76,78.41,52.55,49.24,50.45,51.81,50.22,57.48
MYCTH_2293949,21.53,21.9,22.12,17.51,18.19,18.18,21.79,25.67,19.4,12.43,14.08,16.56
MYCTH_90655,7.97,6.03,7.2,27.26,30.3,29.36,11.7,7.2,37.05,26.16,27.49,28.93
MYCTH_2293953,37.51,34.39,31.47,282.38,294.47,300.33,41.04,37.67,38.06,233.22,246.2,216.71
MYCTH_t53,0,0,0.22,0.45,0,0,0.22,0,0,0.81,0,0
MYCTH_2293954,21.42,21.12,20.47,26.04,24.71,24.27,19.52,20.21,19.15,13.21,12.6,13.53
MYCTH_2049934,7.37,6.95,5.82,13.27,15.14,16.17,4.92,4.35,4.38,5.12,6.67,7.01
MYCTH_2293957,188.32,190.24,174.2,191.5,194.89,190.83,141.26,145.04,120.68,133.16,136.35,150.29
MYCTH_2293959,30.61,29.47,30.46,52.8,51.72,56.1,21.39,19.74,27.69,30.68,35.49,32.3
MYCTH_2293961,16.11,16.4,14.37,20.89,23.36,24.05,12.57,9.28,11.51,14.87,17.76,17.85
MYCTH_2293962,24.41,24.95,24.74,18.23,19.63,18.73,22.81,21.87,19.52,18.84,20.32,19.11
MYCTH_2293963,6.51,8.74,8.06,12.65,12.64,11.73,2.3,2.87,5.14,5.45,9.2,7.09
MYCTH_2293965,22.48,22.66,22.07,16.11,18.61,19.67,14.64,12.31,13.89,8.96,9.45,11.29
MYCTH_t52,0,0,0.21,0,0,0,0,0,0,0,0.93,1.34
MYCTH_2293966,0.75,0.8,0.33,2.56,2.97,2.8,0.49,0.84,1.24,1.85,0.84,1.28
MYCTH_2293968,5.62,5.47,6.17,10.9,10.81,10.66,4.06,4.27,4.03,5.16,5.63,5.28
MYCTH_2293969,25.49,27.78,24.95,19.13,19.17,20.67,17.55,12.27,14.03,11.41,12.87,13
MYCTH_2293970,36.93,41.88,35.85,28.73,26.63,29.31,28.47,27.2,25.58,19.05,19.79,23.78
MYCTH_2293973,3.48,3.71,3.08,10.34,9.32,8.37,2.96,1.48,2.5,2.68,4.27,3.45
MYCTH_2293977,16.73,16.5,16.17,22.58,19.23,17.91,16.14,15.81,13.48,11.69,13.05,12.74
MYCTH_2293982,35.08,37.16,33.26,19.52,20.14,18.29,27.61,28.92,24.24,14.6,15.55,16.67
MYCTH_31411,2.53,3.63,2.43,2.64,3.28,4.04,1.87,1.3,1.56,1.5,1.65,1.7
MYCTH_2293986,16.54,14.63,13.84,36.44,35.26,36.67,8.86,7.23,7.45,19.58,22.74,20.43
MYCTH_75421,26.13,29.47,24.67,46.11,46.68,48.02,22.25,16.72,24.32,23.02,28.89,30.13
MYCTH_2293995,7.56,5.73,6.98,16.38,17.35,15.85,4.64,4.9,5.35,11.28,11.24,10.29
MYCTH_2293998,7.81,7.61,8.64,17.42,18.79,21.39,5.97,4.45,5.92,8.85,10.11,9.74
MYCTH_2293999,34.67,35.28,34.13,45.67,40,37.86,28.89,27.96,33.38,31.19,34.09,32.45
MYCTH_2294001,4.66,7.25,6.33,15.06,13.5,12.58,3.9,2.22,5.3,6.13,8.33,8.29
MYCTH_2294003,17.01,13.97,16.62,21.63,23.26,19.68,14.07,14.74,17.82,14.34,15.29,15.43
MYCTH_2294005,6.78,4.84,4.91,8.66,8.86,7.19,4.43,5.35,5.82,8.85,4.59,3.25
MYCTH_2294006,15.07,13.89,14.62,26.84,27.36,27.5,12.18,14.6,11.14,17.13,17.19,15.05
MYCTH_2294008,19.21,19.65,18.4,21.93,25.09,25.36,13.95,11.01,14.81,12.57,13.8,12.85
MYCTH_2121938,152.55,149.17,148.16,476.44,478.22,479.62,103.26,95.82,156.66,340.8,345.67,337.7
MYCTH_2294022,6.27,5.85,6.52,13.16,14.1,15.31,4.35,3.4,4.2,8.58,8.74,8.22
MYCTH_2141262,80.74,85.15,75.59,78.03,80.32,79.22,60.48,64.13,58.28,60.82,59.78,63.63
MYCTH_2053489,9.3,8.96,9.71,15.85,15.9,16.95,6.78,5.36,4.05,10.24,10.31,9.55
MYCTH_2294026,12.33,10.79,12.1,36.16,39.47,41.92,5.54,4.63,6.49,13.05,15.15,14.47
MYCTH_2294033,15.9,16.97,14.85,62.41,66.84,68.23,14.76,11.39,15.73,36.32,36.36,32.07
MYCTH_2121946,0.07,0,0,0,0,0,0,0,0,0.12,0.12,0
MYCTH_2294035,82.68,69.68,72.04,59.78,62.36,66.85,76.5,89.97,69.03,42.24,43.94,47.26
MYCTH_2294036,1.85,1.47,1.43,4.98,5.4,4.45,1.47,1.24,1.57,1.61,2.1,2.07
MYCTH_2294037,5.44,5.29,5.04,9.07,10.52,10.26,3.44,3.38,4.9,5.84,7.06,6.31
MYCTH_2294039,21.8,21.68,20.23,30.91,33.52,33.94,16.23,14.38,17.1,17.04,19.33,18.81
MYCTH_2072958,16.69,15.59,16.72,21.85,23.06,24.82,14.12,10.23,15.13,11.32,13.71,14.16
MYCTH_2313252,33.62,36.46,36.7,64.11,65.95,67.66,27.2,21.77,30.5,39.11,38.34,41.07
MYCTH_2294048,25.94,24.07,26.12,44.44,42.43,41.82,19.66,17.93,20.6,25.3,26.31,23.64
MYCTH_2294051,19.63,22.88,20.25,28.53,29.88,28.51,17.59,15.71,19.05,18.79,20.57,18.37
MYCTH_2121955,145.92,153.47,151.38,129.04,133.47,136.04,129.22,124.15,121.84,118.6,114.59,138.21
MYCTH_2294054,35.49,38.56,33.87,26.92,26.93,27.64,25.6,23.02,25.74,21.64,19.78,25.32
MYCTH_2054076,0.12,0.05,0.02,0.11,0.04,0.01,0.05,0.02,0.02,0.01,0,0.02
MYCTH_2294062,440.62,437.09,448.36,399.47,436.88,427.25,310.91,307.7,401.32,313.57,316.27,317.71
MYCTH_2294065,10.79,10.55,12.55,13.67,14.96,16.21,8.48,7.64,11.83,10.2,10.54,10.09
MYCTH_2294067,5.96,3.57,4.69,7.87,11.52,8.14,4.11,2.83,5.47,4.78,5.96,5.2
MYCTH_2085599,62.7,57.97,60.77,239.56,249.47,247.61,37.85,41.35,59.57,121.79,124.9,120.05
MYCTH_2294074,14.36,14.15,13.61,32.54,34.66,32.23,12.92,13.79,17.32,21.68,20.79,17.39
MYCTH_2294077,75.12,71.17,70.06,99.12,99.89,87.99,73.55,84.62,68.5,57.07,59.36,55.47
MYCTH_2051419,72.29,72.94,68.11,160.3,155.56,162.26,53.03,44.56,52.47,84.96,85.79,91.23
MYCTH_2294085,15.98,17.03,14.95,72.83,67.78,72.83,12.66,11.37,15.62,43.85,42.51,46.94
MYCTH_2294086,4.39,5.47,3.99,17.33,13.21,13.89,3.24,3.73,4.67,7.12,8.89,11.31
MYCTH_2054510,0,0,0,0,0,0,0,0,0,0,0,0
MYCTH_2054216,0,0,0,0,0,0,0,0,0,0,0,0
MYCTH_2052384,0,0,0,0,0,0,0,0,0,0,0,0
MYCTH_61649,0,0,0,0,0,0,0,0,0,0,0,0
MYCTH_2052509,0,0,0,0,0,0,0,0,0,0,0,0
MYCTH_36219,0,0,0,0,0,0,0,0,0,0,0,0
MYCTH_2294088,8.07,6.88,8.64,25.63,30.8,38.05,5.97,3.63,8.37,10.68,12.73,10.15
MYCTH_2294089,15.3,15.97,16.6,22.62,22.26,24.4,13.05,13.32,12.18,24.59,22.47,24.66
MYCTH_2294092,13.94,15.54,13.15,17.11,16.18,19.56,9.61,8.27,9.97,18.17,18.33,18.3
MYCTH_61659,56.18,55.99,56.16,66.86,65.54,68.34,43.31,43.01,55.07,50.71,51.06,47.6
MYCTH_75490,60.01,51.39,58.87,53.04,56.29,46.47,77.51,88.03,75.08,14.45,17.42,15.95
MYCTH_2294099,17.49,16.89,17,38.25,41.17,41.91,11.97,11.73,12.99,22.49,20.07,20.11
MYCTH_2294100,5.17,4.85,6,11.04,11.66,10.54,3.72,2.41,5.95,5.35,4.34,5.63
MYCTH_2294101,6.87,5.13,6.47,7.68,12.35,13.04,3.89,2.88,7.33,6.21,7.08,7.38
MYCTH_2141282,15.25,13.9,14.53,12.59,14.31,14.56,10.25,8.87,11.2,7.14,8.28,8.31
MYCTH_2294104,21.02,21.53,20.02,23.55,24.33,24.88,18.55,17.31,18.87,33.93,30.32,37.12
MYCTH_2313262,124.62,147.99,130.99,124.83,122.68,123.31,167.65,177.84,148.7,102,112.37,129.95
MYCTH_2294109,3.02,3.18,2.56,5.17,5.89,5.23,3.06,1.34,3.76,3.71,4.15,4.09
MYCTH_2294110,7.48,10.13,8.86,12.41,12.64,12.21,9.08,7.14,9.49,10.52,11.02,11.42
MYCTH_2294115,5.34,6.73,6.49,21.06,19.23,22.22,5.95,3.21,5.42,10.82,10.86,12.48
MYCTH_2294116,1.11,1.5,1.47,2.34,1.95,2.95,1.27,0.69,1.11,2.13,2.32,2.45
MYCTH_2294124,3.07,2.97,3.7,8.21,11.52,9.59,2.98,1.09,3.4,3.14,4.82,4.52
MYCTH_2114100,2.09,2.61,1.78,6.72,4.9,5.23,2.04,1.72,1.75,4.01,4.56,3.96
MYCTH_2313270,55.58,47.24,50.69,75.61,68.07,62.15,45.64,47.85,48.07,60.79,73.99,62.05
MYCTH_2136371,25.82,24.38,25.74,38.41,33.76,35,25.24,23.5,24.37,32.45,36.97,31.7
MYCTH_2053555,7.74,10.08,9.52,12.02,12.59,14.04,5.14,4.33,6.09,9.06,8.1,8.82
MYCTH_2294137,8.17,7.84,8.75,10.08,8.53,8.4,5.04,4.31,5.81,4.91,5.77,7.07
MYCTH_2294138,9.32,9.08,8.48,13.97,12.88,14.66,4.88,3.26,7.2,7.27,7.38,8.11
MYCTH_2294143,133.64,123.57,123.58,119.79,122.02,120.6,135.7,147.88,120.78,91.61,94.76,91.11
MYCTH_2294145,19.19,19.42,17.79,10.97,13.04,15.25,12.95,10.48,12.36,7,7.65,9.12
MYCTH_2050335,7.81,5.61,6.09,12.58,12.11,13.3,4.22,3.9,3.55,5.41,7,6.65
MYCTH_2294147,11.1,10.92,10.88,15.52,14.52,15.69,7.93,6.41,8.31,8.94,9.98,9.21
MYCTH_2294148,53.76,50.85,49.56,120.08,131.7,123.63,36.14,32.07,33.18,78.85,74.76,82.16
MYCTH_75536,45.62,46.45,50.5,41.58,43.21,42.73,37.07,28.27,31.05,47.7,47.69,51.06
MYCTH_2141297,5.28,4.89,6.21,12.42,12.25,11.95,3.65,3.46,4.83,5.27,6.99,6.3
MYCTH_105575,7.87,6.63,9.26,9.53,10.22,11.18,5.45,3.73,15.25,9.28,7.66,8.75
MYCTH_2294164,17.88,19.28,17.83,23.86,25.06,26.12,16.76,18.85,21.6,12.6,15.26,11.51
MYCTH_2294165,8.48,4.57,6.62,13.09,11.94,12.34,6.7,7.44,9.74,4.71,5.1,5.9
MYCTH_43356,164.34,139.79,134.73,42.19,44.84,39.74,194.81,282.98,193.53,22.29,25.28,21.75
MYCTH_2294168,173.2,155.83,158.81,269.86,286.84,284.1,149.08,140.25,154.84,203.38,200.6,203.02
MYCTH_2122013,0.29,0,0.4,0.09,0.18,0.22,0.25,0.46,0.29,0.16,0.1,0.15
MYCTH_2294173,10.87,13.87,11.5,21.45,24.2,25.66,12.8,9.11,16.31,12.27,15.31,13.58
MYCTH_2294181,76.04,70.25,76.07,114.86,124.32,133.04,58.45,56.87,77.31,79.35,77.95,70.55
MYCTH_2294188,22.82,22.5,19.8,30.82,33.92,33.15,13.5,14.19,12.54,15.14,14.35,15.04
MYCTH_2294189,8.44,8.16,6.28,10.03,10.84,10.73,6.07,5.25,5.28,6.43,7.6,6.86
MYCTH_2294191,5.49,5.33,5.07,6.33,7.54,7.52,4.27,2.3,4.36,3.32,3.74,4.45
MYCTH_2294192,21.03,24.2,20.99,23.29,22.75,22.33,16.02,15.06,19.46,14.57,18.07,21.75
MYCTH_2294193,32.99,34.24,30.1,25.01,29.97,31.73,18.27,15.25,16.21,14.83,13.42,18.54
MYCTH_2051994,0.86,0.55,0.78,0.74,1.15,0.97,0.31,0.18,0.48,0.36,0.61,0.32
MYCTH_2294197,13.82,11.82,13.24,22.21,26.95,22.97,8.6,3.81,13.38,11.38,12.07,9.69
MYCTH_2294200,8.69,7.8,9.33,8.66,10.97,9.81,4.26,3.33,4.82,4.77,3.9,3.96
MYCTH_2294202,30.18,25.65,25.59,21.52,19.33,18.51,32.04,31.35,37.03,15.3,15.47,14.26
MYCTH_86520,6.97,9.32,7.69,13.49,14.07,16.83,5.74,2.98,6.13,7.69,7.75,11.18
MYCTH_2294206,23.18,23.74,19.73,40.79,43.62,44,20.21,13.87,30.85,26.3,24.62,29.27
MYCTH_2049865,4.41,4.88,5.45,2.21,1.6,1.79,1.46,2.12,1.63,1.17,1.4,1.02
MYCTH_2294210,35.81,43.21,37.84,29.53,32.26,33.02,24.49,14.02,16.76,13.69,17.53,17.28
MYCTH_61755,1.6,1.31,1.41,3.63,3.57,3.67,0.91,0.62,0.8,1.63,2.04,2.06
MYCTH_t1,0.34,0,0.33,0,0,0,0,0,0.69,0,0,1.43
MYCTH_2294213,18.99,15.54,17.53,37.26,38.88,34.18,15.39,13.9,14.46,20.63,20.7,17.22
MYCTH_2294215,223.36,253.84,235.35,197.48,189.61,199.59,215.93,223.65,218.93,170.16,162.23,184.97
MYCTH_2294216,25.78,25.04,27.32,23.25,26.36,22.3,26.24,26.22,35.84,17.53,14.84,15.43
MYCTH_2131445,16.16,17.97,15.25,11.15,13.2,12.72,11.32,8.99,9.78,7.75,8.45,7.9
MYCTH_2294218,118.66,126.63,110.54,72.46,72.02,81.63,80.34,82.19,75.67,59.53,54.82,66.77
MYCTH_2294220,35.55,35.92,34.37,31.88,32.13,32.25,26.67,19.99,22.96,19.06,22.73,22.07
MYCTH_2122038,1.14,0.68,1.56,1.47,1.61,2.21,0.8,0.56,0.64,1.14,1.16,1.21
MYCTH_2294223,9.38,7.4,8.13,5.67,6.32,7.3,5.14,5.35,5.9,3.29,3.16,4.09
MYCTH_2294224,5.16,6.99,4.52,4.2,2.64,2.57,2.61,3.87,3.59,1.46,1.62,1.76
MYCTH_2294226,24.05,27.34,27.21,21.22,17.49,17.79,19.88,19.05,16.55,20.36,20.29,23.64
MYCTH_2294230,23.49,24.77,24.11,27.66,27.87,27.26,16.43,18.38,19.39,23.29,22.96,18.5
MYCTH_2294231,36.91,33.47,33.89,35.4,27.93,31.33,29.72,29.4,28.31,30.76,30.41,31.54
MYCTH_2294232,20.29,22.62,22.44,22.76,19.67,16.24,19.46,21.2,18.27,19.76,22.38,22.44
MYCTH_2294233,1.43,2.22,1.62,1.2,1.67,1.62,1.64,0.96,0.86,0.86,1.59,1.41
MYCTH_2294236,7.71,9.06,10.04,11.89,11.37,10.88,9.11,9.52,10.34,7.39,7.81,7.57
MYCTH_2294238,18.1,18.7,18.57,43.44,41.47,44.33,16.99,14.32,15.54,21,17.53,18.89
MYCTH_2294240,137.77,147.28,130.11,424.11,432.37,454.82,110.46,111.57,95.48,206.28,189.32,214.21
MYCTH_2294243,88.3,95.57,84.46,108.01,108.25,111.25,82.56,87.77,79.56,66.07,69.65,78.06
MYCTH_2050447,4.55,3.98,3.52,11.12,12.49,13,4.33,3.99,7.05,6.59,6.1,6.14
MYCTH_2294247,23.51,25.21,23.72,15.22,14.48,17.42,18.02,16.25,14.39,13.83,15.87,16.38
MYCTH_2294249,10.09,12.52,10.54,14.83,15.77,15.88,7.39,8.1,8.5,9.88,8.05,8.36
MYCTH_2294250,10.12,8.35,8.7,24.35,28.15,27.07,4.7,4.62,4.68,13.14,12.44,10.61
MYCTH_2294252,61.97,63.77,60.42,65.42,67.94,66.91,45.96,44.73,60.1,40.86,40.72,45.1
MYCTH_2294253,16.91,16.05,14.94,27.31,30.16,30.46,13.65,11.45,15.49,13.71,16.14,15.72
MYCTH_113715,9.82,9.43,8.7,15.94,16.77,17.21,4.67,4.42,5.2,8.22,8.8,8.03
MYCTH_2294261,4.66,5.3,4.78,11.7,10.86,10.23,3.56,2.45,5.53,8.31,6.33,7.07
MYCTH_2294264,10.26,10.76,9.77,12.77,14.82,14.69,5.41,4.11,4.44,7.73,7.99,7.89
MYCTH_105600,2.76,2.91,2.46,4.23,5.79,6.29,1.92,1.74,2.67,2.37,2.63,2.16
MYCTH_2294267,4.34,4.21,4.48,13.05,12.74,11.7,3.96,2.94,5.41,7.66,7.96,6.68
MYCTH_2294268,9.01,8.28,10.29,37.83,36.32,36.83,5.71,4.95,5.81,15.06,14.87,14.6
MYCTH_2294274,44.98,46.3,44.47,101.2,105.94,111,38.23,29.89,45.11,66.79,67.58,66.89
MYCTH_2073127,53.06,55.9,50.93,45.71,49.28,49.78,47.11,38.34,42.05,59.26,58.65,70.41
MYCTH_2122065,2.7,1.46,2,3.92,3.36,3.19,1.07,0.76,0.62,1.6,2.06,2.21
MYCTH_2055311,13.91,12.62,12.27,23.45,24.4,25.74,7.48,7.48,8.03,11.08,12.62,12.48
MYCTH_2294281,54.65,54.87,55.08,56.37,56.12,63.4,49.23,50.12,49.32,50.47,46.31,49.11
MYCTH_43671,89.36,65.47,101.75,2199.63,2237.9,2387.75,77.96,35.75,95.8,1429.87,1453.85,1340.59
MYCTH_2073132,35.75,35.81,34.5,36.6,37.12,35.86,26.63,26.62,27.64,23.29,25.14,27.52
MYCTH_2294289,4.44,4.04,4.61,6.65,6.29,6.84,3.68,1.91,4.4,3.76,3.24,3.98
MYCTH_90789,14.55,17.14,14.59,6.32,7.36,5.95,13.23,10.03,12.4,7.23,5.19,7.35
MYCTH_2294293,4.56,4.54,4.72,9.43,9.47,11.04,2.84,2.31,3.13,6.25,4.75,5.37
MYCTH_2122073,635.76,669.92,630.15,617.83,614.31,659.48,426.76,370.84,418.72,454.44,445.1,464.52
MYCTH_2294298,20.74,21.13,22.62,46.28,45.54,45.14,14.38,11.2,15.29,23.54,21.49,25.78
MYCTH_2294300,11.52,11.39,10.51,24.96,24.51,22.39,11.24,9.86,12.9,15.03,14.55,14.82
MYCTH_2122076,0.8,1.41,0.64,1.71,1.39,1.06,0.69,0.17,0.92,2.58,1.13,2.46
MYCTH_2294303,208.78,201.27,211.97,197.59,196.52,203.6,190.92,193.95,172.9,208.14,213.08,198.55
MYCTH_2313301,128.33,139.23,126.66,124.45,127.81,135.28,108.57,85.23,98.3,95.56,89.27,100.86
MYCTH_2074571,31.72,30.25,29.68,32.69,35.23,35.3,19.77,20.8,19.23,21.31,21.73,20.95
MYCTH_2106095,7.21,7.29,5.49,12.42,10.78,12.03,4.65,8.08,4.09,5.01,4.97,5.4
MYCTH_2294307,6.29,7.37,6.16,5.14,4.47,6.38,4.9,3.76,3.97,3.94,4.02,3.81
MYCTH_2294309,60.24,61.35,62.5,61.75,61.98,63.34,97.49,102.56,90.38,57.26,59.05,68.45
MYCTH_2294310,11.69,11.33,11.25,22.27,30.04,21.1,8.95,8.45,11.94,16.01,16.97,17.67
MYCTH_2313303,111.14,108.45,104.93,162.27,169.04,168.67,91.37,90.18,80.15,104.64,102.32,103.29
MYCTH_2294314,6.21,5.25,6.15,10.17,10.24,9.73,5.71,4.45,6.13,6.26,6.45,5.82
MYCTH_2313305,322.41,338.41,291.85,602.26,599.88,627.45,254.51,200.21,425.83,684.24,682.26,775.44
MYCTH_2294321,250.42,242.79,250.49,263.83,270.02,283.1,196.07,192.14,184.07,229.06,232.45,222.75
MYCTH_2294324,8.41,9.81,8.61,7.72,8.74,9.89,6.14,4.65,4.74,4.63,5.12,4.32
MYCTH_2294326,15.68,14,14.02,22.98,23.53,22.95,9.12,7.43,9.67,10.68,11.56,13.07
MYCTH_2294330,72.57,79.42,75.7,57.4,53.43,56.04,62.83,62.43,58.67,41.14,40.17,49.76
MYCTH_2294333,4.05,3.78,3.16,6.85,8.54,8.61,2.06,1.52,2.37,3.47,3.25,3.83
MYCTH_2294336,3.63,4.02,4.46,9.35,10.82,9.89,2.68,1.49,4.25,3.81,4.69,4.61
MYCTH_2114188,0.23,0.25,0.38,0.35,0.49,0.74,0.15,0.03,0.45,0.15,0.27,0.17
MYCTH_2294340,22.62,18.2,17.89,6.81,5.87,5.68,24.85,31.49,28.32,5.61,6.89,5.6
MYCTH_2294343,29.68,27.69,27.49,50.98,52.65,50.96,13.82,17.22,14.75,22.95,24.08,22.82
MYCTH_2294344,10.99,11.68,11.2,7.4,7.36,7.65,9.71,9.66,9.97,5.6,8.42,6.95
MYCTH_61858,146.25,148.78,141.73,149.22,149.8,154.5,110.06,113.13,115.68,106.31,97.74,103.22
MYCTH_2294347,3.2,3.8,2.75,6.11,6.65,7.44,2.73,2.62,2.81,4.87,5.07,4.64
MYCTH_2294348,0.32,0.17,0.31,0.58,0.08,0.45,0.1,0.06,0.05,0.33,0.41,0.87
MYCTH_2294350,2.41,2.16,2.13,22.96,25.07,26.77,2.93,1.89,3.98,19.7,20.47,20.2
MYCTH_2106114,0.26,0.11,0.05,0.07,0.01,0.03,0,0.36,0,0,0.15,0.16
MYCTH_2294353,18.33,16.7,17.77,40.43,40.03,44.47,9.05,7.66,11.79,19.46,20.79,16.75
MYCTH_2122102,25.36,30.76,28.35,29.25,26.57,28.44,22.96,21.02,32.05,18.1,21.47,18.84
MYCTH_2294358,21.92,22.26,20.13,38.49,37.45,38.39,45.34,43.63,87.29,54.48,62.25,60.13
MYCTH_2122104,7.75,5.83,5.91,11.39,11.22,11.92,18.87,21.04,19.38,11.05,9.82,7.92
MYCTH_2294361,148.55,143.7,134.52,86.12,89.66,90.85,224.75,199.87,191.02,77.61,80.29,84.5
MYCTH_2122106,0.21,0.05,0.14,0.1,0.26,0.22,0,0,0.2,0.18,0.16,0.27
MYCTH_2294362,6.15,6.9,5.5,29.59,29.43,32.78,7.6,5.43,16.19,19.1,21.57,20.9
MYCTH_2294366,21.2,18.82,18.43,28.03,28.28,29.45,10.73,11.18,11.54,13.4,16.01,15.27
MYCTH_2294367,9.03,8.16,8.12,15.34,16.16,15.57,6.36,5.3,5.78,10.33,10.23,10.97
MYCTH_2294369,4.98,5.79,6.12,19.87,25.34,27.82,3.89,2.45,4.29,6.51,7.64,7.75
MYCTH_2294372,45.98,45.47,40.52,33.14,33.56,34.59,26.06,26.59,26.03,21.54,21.12,24.23
MYCTH_2294375,278.87,294.37,268.05,258.81,259.45,266.74,291.89,269.96,273.58,237.02,227.6,264.12
MYCTH_75696,7.37,6.87,6.69,23.9,26.91,27.43,6.96,5.02,7.5,11.48,11.02,12.13
MYCTH_2294384,1.89,1.17,1.59,3.39,3.6,4.36,1.63,0.88,1.22,1.75,2.06,1.29
MYCTH_2294385,1.13,0.43,0.74,3.09,3.29,1.85,0.89,0.46,0.57,1.27,0.38,1.17
MYCTH_2294386,26.21,26.48,25.42,30.15,28.98,28.91,22.7,23.6,25.92,20.48,22.56,21.49
MYCTH_98729,18.24,19.72,16.85,17.07,18.14,18.63,15.04,16.07,17.5,13.2,12.74,13.75
MYCTH_2294390,7.38,8.61,7.74,15.95,18.26,17.79,4.82,5.01,4.82,5.41,5.9,6.42
MYCTH_2294392,16.37,16.64,15.08,12.22,14.51,14.61,10.67,8.94,8.8,8.24,9.02,9.44
MYCTH_2294394,27.35,28.3,27.04,35.9,31.21,34.84,23.35,22.35,23.97,23.53,24.52,26.92
MYCTH_2294398,7.64,7.72,7.62,10.81,11.86,12.23,4.84,5.08,6.1,5.35,6.65,6.87
MYCTH_2294400,36.99,38.38,35.34,19.15,22.53,23.97,25.32,23.8,28.09,12.27,12.46,17.2
MYCTH_2294401,30.78,28.09,29.89,26.58,24.29,22.17,32.73,35.31,29.81,22.24,25.62,24.94
MYCTH_2087238,63.63,69.55,66.29,64.23,53.18,56.63,61.58,66.39,66.36,38.8,42.87,49.22
MYCTH_2294405,4.15,4.38,3.83,6.06,4.82,5.67,2.13,2.06,2.68,2.22,2.37,2.65
MYCTH_2294406,21.12,24.59,17.38,26.3,28.49,28.42,13.86,14.82,13.95,17.82,21.93,19.5
MYCTH_2294408,4.58,5.22,5.59,10.45,9.62,10.42,3.87,3.13,4,5.21,5.73,5.03
MYCTH_2294412,24.59,23.66,23.45,44.54,39.72,42.12,19.75,16.29,15.62,23.26,24.72,24.5
MYCTH_2294414,10.63,9.72,8.8,19.88,20.74,19.83,7.53,6.52,6.38,11.17,9.87,11.07
MYCTH_2294415,69.18,63.98,65.7,77.76,82.09,81.74,40.36,43.98,34.83,41.64,41.87,41.73
MYCTH_2294417,2.41,3.76,2.52,2.79,2.65,3.6,2.01,2.86,3.1,1.75,2.71,1.62
MYCTH_2294418,34.9,40.73,35.79,38.19,38.85,36.5,29.19,27.24,25.54,30.4,28.4,34.2
MYCTH_2294421,18.75,19.53,16.26,14.81,16.64,15.06,13,12.9,13.52,7.71,7.98,10.27
MYCTH_2294422,14.15,15.02,13.32,25.94,26.39,28.23,8.03,7.79,10.33,13.76,14.97,14.67
MYCTH_2294426,7.82,7.53,6.52,7.76,9.61,9.86,5.13,3.75,5.75,5.74,5.25,5.76
MYCTH_2294427,22.18,22.24,20.13,51.3,49.62,49.28,15.15,14.82,18.77,32.03,32.03,28.79
MYCTH_2294429,19.78,21.87,19.09,41.39,44.24,47.37,10.36,8.41,9.27,15.03,16.77,18.37
MYCTH_2294430,32.41,34.51,33.91,56,58,55.42,21.84,17.73,28.81,26.58,29.42,30.06
MYCTH_2294433,9.42,9.54,9.64,26.83,31.16,31.92,7.11,6.22,9.48,12.07,14.37,14.07
MYCTH_2294435,13.1,11.74,11.7,22.06,25.45,22.04,6.81,5.96,10.29,10.9,11.55,10.14
MYCTH_2074663,74.55,79.3,75.19,78.35,82.84,86.07,71.32,71.91,79.74,67.73,66.71,64.98
MYCTH_105650,227.73,257.4,232.77,212.44,207.36,227.91,151.7,142.71,177.39,142.4,152.97,172.23
MYCTH_2294445,13.65,12.05,11.64,8.23,7.9,8.14,11.56,9.68,9.78,5.59,6.28,8.18
MYCTH_2041072,2.49,2.24,2.89,3.44,3.81,4.43,1.93,1.39,2.46,2.98,3.76,2.48
MYCTH_2294446,5.37,5.9,5.14,10.46,11.62,10.43,3.12,3.15,5,6.55,6.29,6.48
MYCTH_42476,0.15,0.15,0.35,0.99,1.15,0.94,0.22,0.17,0.43,0.57,0.4,0.5
MYCTH_2294448,4.46,3.96,4.26,17.52,19.85,19.53,2.48,1.69,3.06,5.35,6.39,5.95
MYCTH_75762,13.28,13.74,13.39,20.61,22.16,21.76,8.69,7.73,9.51,10.63,11.31,12.33
