Geneid,C1_1,C1_2,C1_3,C2_1,C2_2,C2_3,T1_1,T1_2,T1_3,T2_1,T2_2,T2_3
MYCTH_2299316,83.17,77.34,73.25,120.78,119.18,123.05,46.16,32.51,45.43,70.01,69.48,76.75
MYCTH_2314258,52.01,49.49,49.62,51.07,49.93,51.64,36.89,33.12,29.63,32.59,33.14,37.56
MYCTH_2299319,15.68,16.72,17.23,15.2,14.62,16.87,8.16,6.16,6.98,8.93,9.4,10.87
MYCTH_2055575,12.61,11.82,12.27,12.41,12.43,13.69,3.71,4.07,3.46,7.69,7.11,8.08
MYCTH_2299321,7.35,7.17,8.83,14.24,13.56,13.88,6.81,6.1,6.38,8.11,7.39,5.78
MYCTH_2124399,0.13,0.3,0.25,0.05,0.3,0.12,0.44,0.21,0.21,0.05,0.29,0.29
MYCTH_2299322,18.17,20.62,16.89,10.84,10.82,11.42,13.95,14.05,14.33,8.09,8.83,10.08
MYCTH_73602,1.89,2.2,1.99,6.04,4.98,5.67,1.3,1.18,1.67,3.25,2.99,2.98
MYCTH_73601,13.19,13.86,12.32,9.65,11,13.29,7.21,8.87,7.85,6.35,6.8,6.45
MYCTH_2053677,18.99,22.67,20.79,27.98,26.71,26.45,16.77,15.17,15.45,17.23,16.71,17.61
MYCTH_2299329,11.03,11.24,10.95,29.01,28.88,29.76,13.56,13.45,13.85,24.44,22.59,22.82
MYCTH_2299331,51.05,44.17,49.7,41.36,41.11,38.16,64.8,75.37,62.85,32.29,36.95,33.16
MYCTH_2074154,16.16,15.8,15.77,38.72,46.32,47.38,11.02,10.41,10.82,19.58,21.04,18.46
MYCTH_2086765,33.39,41.93,41.01,42.82,40.29,41.02,29.09,24.96,33.32,33.42,33.41,35.15
MYCTH_2299335,30.25,33.43,32.9,19.97,17.92,16.5,20.43,18.59,16.77,26.92,28.91,28.53
MYCTH_89510,0,0.07,0,0.18,0.07,0.08,0.03,0.03,0.19,0.05,0,0
MYCTH_2299337,2.16,2.08,2.66,9,9.04,7.67,2.57,1.72,2.49,5.54,4.62,4.09
MYCTH_2299338,3.92,3.61,4.81,10.47,11.13,11.4,2.8,2.83,3.62,5.79,5.96,5.54
MYCTH_2299339,32.06,27.55,29.45,41.64,47.26,46.8,24.82,22.19,32.48,27.89,27.31,26.75
MYCTH_2086777,64.37,77.83,70.31,110.89,105.13,111.74,52.76,55.42,72.8,73.98,74.35,73.43
MYCTH_2299343,15.53,17.12,15.5,13.99,14.7,17.13,11.43,9.65,15.68,10.24,9.27,11.46
