ID	Gene
KEY:MYCTH_100011	MYCTH_100011
KEY:MYCTH_100068	MYCTH_100068
KEY:MYCTH_100089	MYCTH_100089
KEY:MYCTH_100127	MYCTH_100127
KEY:MYCTH_100290	MYCTH_100290
KEY:MYCTH_100400	MYCTH_100400
KEY:MYCTH_100401	MYCTH_100401
KEY:MYCTH_100435	MYCTH_100435
KEY:MYCTH_100489	MYCTH_100489
KEY:MYCTH_100518	MYCTH_100518
KEY:MYCTH_100519	MYCTH_100519
KEY:MYCTH_100541	MYCTH_100541
KEY:MYCTH_100566	MYCTH_100566
KEY:MYCTH_100589	MYCTH_100589
KEY:MYCTH_100608	MYCTH_100608
KEY:MYCTH_100654	MYCTH_100654
KEY:MYCTH_100744	MYCTH_100744
KEY:MYCTH_100777	MYCTH_100777
KEY:MYCTH_100809	MYCTH_100809
KEY:MYCTH_100838	MYCTH_100838
KEY:MYCTH_100975	MYCTH_100975
KEY:MYCTH_101019	MYCTH_101019
KEY:MYCTH_101105	MYCTH_101105
KEY:MYCTH_101107	MYCTH_101107
KEY:MYCTH_101172	MYCTH_101172
KEY:MYCTH_101222	MYCTH_101222
KEY:MYCTH_101224	MYCTH_101224
KEY:MYCTH_101261	MYCTH_101261
KEY:MYCTH_101321	MYCTH_101321
KEY:MYCTH_101345	MYCTH_101345
KEY:MYCTH_101354	MYCTH_101354
KEY:MYCTH_101394	MYCTH_101394
KEY:MYCTH_101399	MYCTH_101399
KEY:MYCTH_101406	MYCTH_101406
KEY:MYCTH_101411	MYCTH_101411
KEY:MYCTH_101506	MYCTH_101506
KEY:MYCTH_101575	MYCTH_101575
KEY:MYCTH_101588	MYCTH_101588
KEY:MYCTH_101623	MYCTH_101623
KEY:MYCTH_101673	MYCTH_101673
KEY:MYCTH_101679	MYCTH_101679
KEY:MYCTH_101730	MYCTH_101730
KEY:MYCTH_10175	MYCTH_10175
KEY:MYCTH_101762	MYCTH_101762
KEY:MYCTH_101800	MYCTH_101800
KEY:MYCTH_101870	MYCTH_101870
KEY:MYCTH_101972	MYCTH_101972
KEY:MYCTH_102118	MYCTH_102118
KEY:MYCTH_102133	MYCTH_102133
KEY:MYCTH_102138	MYCTH_102138
KEY:MYCTH_102172	MYCTH_102172
KEY:MYCTH_102226	MYCTH_102226
KEY:MYCTH_102290	MYCTH_102290
KEY:MYCTH_102295	MYCTH_102295
KEY:MYCTH_102297	MYCTH_102297
KEY:MYCTH_102322	MYCTH_102322
KEY:MYCTH_102448	MYCTH_102448
KEY:MYCTH_102510	MYCTH_102510
KEY:MYCTH_102522	MYCTH_102522
KEY:MYCTH_102533	MYCTH_102533
KEY:MYCTH_102652	MYCTH_102652
KEY:MYCTH_102790	MYCTH_102790
KEY:MYCTH_102792	MYCTH_102792
KEY:MYCTH_102797	MYCTH_102797
KEY:MYCTH_102849	MYCTH_102849
KEY:MYCTH_102871	MYCTH_102871
KEY:MYCTH_102878	MYCTH_102878
KEY:MYCTH_102943	MYCTH_102943
