Gene	Pathway
MYCTH_100519	Inositol phosphate metabolism
MYCTH_101588	Inositol phosphate metabolism
MYCTH_111314	Inositol phosphate metabolism
MYCTH_2062719	Inositol phosphate metabolism
MYCTH_2067418	Inositol phosphate metabolism
MYCTH_2293961	Inositol phosphate metabolism
MYCTH_2294314	Inositol phosphate metabolism
MYCTH_2294543	Inositol phosphate metabolism
MYCTH_2294830	Inositol phosphate metabolism
MYCTH_2296575	Inositol phosphate metabolism
MYCTH_2298714	Inositol phosphate metabolism
MYCTH_2299155	Inositol phosphate metabolism
MYCTH_2300779	Inositol phosphate metabolism
MYCTH_2304931	Inositol phosphate metabolism
MYCTH_2305205	Inositol phosphate metabolism
MYCTH_2308809	Inositol phosphate metabolism
MYCTH_2309971	Inositol phosphate metabolism
MYCTH_2310810	Inositol phosphate metabolism
MYCTH_2311495	Inositol phosphate metabolism
MYCTH_40109	Inositol phosphate metabolism
MYCTH_66338	Inositol phosphate metabolism
MYCTH_76126	Inositol phosphate metabolism
MYCTH_100519	Metabolic pathways
MYCTH_101588	Metabolic pathways
MYCTH_102290	Metabolic pathways
MYCTH_102322	Metabolic pathways
MYCTH_102522	Metabolic pathways
MYCTH_103080	Metabolic pathways
MYCTH_103330	Metabolic pathways
MYCTH_103702	Metabolic pathways
MYCTH_104628	Metabolic pathways
MYCTH_104936	Metabolic pathways
MYCTH_105063	Metabolic pathways
MYCTH_105847	Metabolic pathways
MYCTH_106388	Metabolic pathways
MYCTH_108115	Metabolic pathways
MYCTH_109533	Metabolic pathways
MYCTH_109566	Metabolic pathways
MYCTH_109620	Metabolic pathways
MYCTH_109638	Metabolic pathways
MYCTH_10995	Metabolic pathways
MYCTH_109978	Metabolic pathways
MYCTH_110187	Metabolic pathways
MYCTH_110317	Metabolic pathways
MYCTH_110670	Metabolic pathways
MYCTH_110871	Metabolic pathways
MYCTH_110931	Metabolic pathways
MYCTH_111030	Metabolic pathways
MYCTH_111214	Metabolic pathways
MYCTH_111314	Metabolic pathways
MYCTH_111331	Metabolic pathways
MYCTH_111372	Metabolic pathways
MYCTH_111770	Metabolic pathways
MYCTH_111814	Metabolic pathways
MYCTH_111934	Metabolic pathways
MYCTH_112014	Metabolic pathways
MYCTH_112121	Metabolic pathways
MYCTH_112159	Metabolic pathways
MYCTH_112204	Metabolic pathways
MYCTH_112227	Metabolic pathways
MYCTH_112306	Metabolic pathways
MYCTH_112329	Metabolic pathways
MYCTH_112612	Metabolic pathways
MYCTH_112916	Metabolic pathways
MYCTH_112996	Metabolic pathways
MYCTH_113236	Metabolic pathways
MYCTH_113450	Metabolic pathways
MYCTH_114008	Metabolic pathways
MYCTH_115096	Metabolic pathways
MYCTH_115968	Metabolic pathways
MYCTH_116157	Metabolic pathways
MYCTH_116363	Metabolic pathways
MYCTH_122939	Metabolic pathways
MYCTH_140260	Metabolic pathways
MYCTH_2029356	Metabolic pathways
MYCTH_2029952	Metabolic pathways
MYCTH_2046354	Metabolic pathways
MYCTH_2048131	Metabolic pathways
MYCTH_2049934	Metabolic pathways
MYCTH_2050031	Metabolic pathways
MYCTH_2050951	Metabolic pathways
MYCTH_2051636	Metabolic pathways
MYCTH_2054219	Metabolic pathways
MYCTH_2054249	Metabolic pathways
MYCTH_2057861	Metabolic pathways
MYCTH_2057906	Metabolic pathways
MYCTH_2057978	Metabolic pathways
MYCTH_2058064	Metabolic pathways
MYCTH_2059579	Metabolic pathways
MYCTH_2060641	Metabolic pathways
MYCTH_2060757	Metabolic pathways
MYCTH_2061764	Metabolic pathways
MYCTH_2062719	Metabolic pathways
MYCTH_2063591	Metabolic pathways
MYCTH_2064932	Metabolic pathways
MYCTH_2066697	Metabolic pathways
MYCTH_2066939	Metabolic pathways
MYCTH_2067418	Metabolic pathways
MYCTH_2067613	Metabolic pathways
MYCTH_2067725	Metabolic pathways
MYCTH_2068493	Metabolic pathways
MYCTH_2069347	Metabolic pathways
MYCTH_2069574	Metabolic pathways
MYCTH_2074210	Metabolic pathways
MYCTH_2074905	Metabolic pathways
MYCTH_2075999	Metabolic pathways
MYCTH_2076088	Metabolic pathways
MYCTH_2078128	Metabolic pathways
MYCTH_2079768	Metabolic pathways
MYCTH_2080075	Metabolic pathways
MYCTH_2080506	Metabolic pathways
MYCTH_2080603	Metabolic pathways
MYCTH_2081891	Metabolic pathways
MYCTH_2082262	Metabolic pathways
MYCTH_2082283	Metabolic pathways
MYCTH_2082917	Metabolic pathways
MYCTH_2084531	Metabolic pathways
