Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
MYCTH_2114025	84.4775763246207	1.76993473476013	0.295153799927722	5.99665237307992	2.01426608014581e-09	4.21715414285785e-09
MYCTH_2293935	27.9714194411417	-0.833625671549767	0.474323080367156	-1.75750602501672	0.0788315957935999	0.0953708610879621
MYCTH_2293936	13.6741379618302	-2.33514405380497	0.702317883990073	-3.32491042451936	0.000884469466131445	0.00128826535779615
MYCTH_2051335	331.95040533183	-0.889314282684854	0.131604163503335	-6.75749352460506	1.40399315068367e-11	3.266067196225e-11
MYCTH_2293939	805.966778440682	1.84354728627447	0.107909026266956	17.0842732072637	1.94349625465102e-65	1.80500633715582e-64
MYCTH_2293942	5576.43324734793	-1.54438813215456	0.0615623563195208	-25.0865662798689	6.9707129498621e-139	1.57079513130708e-137
MYCTH_61543	8070.66261268831	0.703095843979011	0.299225286843248	2.34972067834405	0.018787503684119	0.0243642880580207
MYCTH_2293944	1175.44366665199	-0.303281461363741	0.0894005869732468	-3.39238780898047	0.00069286299508645	0.00101749028072805
MYCTH_98562	2396.37282013254	2.68325171047552	0.0798803035178165	33.59090529591	2.2776123224833e-247	1.07160408337497e-245
MYCTH_2105956	21.03142072426	0.207157835730583	0.531892667484766	0.389473005353126	0.69692627597938	0.723282535548666
MYCTH_2293947	2218.82303062694	0.514904286413022	0.0837975083075923	6.14462526168419	8.01525165565421e-10	1.71543613914939e-09
MYCTH_2293949	726.657862233049	0.395786113277587	0.103459493367028	3.8255176049772	0.000130497607696959	0.000202693817288058
MYCTH_90655	1610.34268158196	1.39583699803935	0.0831414135706728	16.7887089970252	2.95196519191934e-63	2.61944849102645e-62
MYCTH_2293953	7783.9144403496	3.34631661370195	0.0616520040211015	54.2774994395415	0	0
MYCTH_2293954	1378.10982316325	0.454551630583753	0.0850242973661907	5.3461380412948	8.98506932729501e-08	1.71013888974499e-07
MYCTH_2049934	994.887361565154	-0.639509663504283	0.0940258538473755	-6.80142362272345	1.03590315296254e-11	2.42560533191639e-11
MYCTH_2293957	13595.615482509	0.359264988380665	0.0582430709532983	6.16837303563094	6.89962175482944e-10	1.47925541028053e-09
MYCTH_2293959	1818.42127458516	0.179727647147113	0.0782360830453473	2.29724751228841	0.0216046541406207	0.0278489618254004
