Gene	Pathway
ANI_1_1000014	Ribosome biogenesis in eukaryotes
ANI_1_1006184	Ribosome biogenesis in eukaryotes
ANI_1_1026104	Ribosome biogenesis in eukaryotes
ANI_1_1060064	Ribosome biogenesis in eukaryotes
ANI_1_1066024	Ribosome biogenesis in eukaryotes
ANI_1_1076144	Ribosome biogenesis in eukaryotes
ANI_1_120044	Ribosome biogenesis in eukaryotes
ANI_1_1210074	Ribosome biogenesis in eukaryotes
ANI_1_122184	Ribosome biogenesis in eukaryotes
ANI_1_1238164	Ribosome biogenesis in eukaryotes
ANI_1_1248074	Ribosome biogenesis in eukaryotes
ANI_1_1280014	Ribosome biogenesis in eukaryotes
ANI_1_1342024	Ribosome biogenesis in eukaryotes
ANI_1_1342074	Ribosome biogenesis in eukaryotes
ANI_1_1344134	Ribosome biogenesis in eukaryotes
ANI_1_1370094	Ribosome biogenesis in eukaryotes
ANI_1_1466084	Ribosome biogenesis in eukaryotes
ANI_1_1542184	Ribosome biogenesis in eukaryotes
ANI_1_1558094	Ribosome biogenesis in eukaryotes
ANI_1_158154	Ribosome biogenesis in eukaryotes
ANI_1_1634144	Ribosome biogenesis in eukaryotes
ANI_1_1636184	Ribosome biogenesis in eukaryotes
ANI_1_1646014	Ribosome biogenesis in eukaryotes
ANI_1_1774184	Ribosome biogenesis in eukaryotes
ANI_1_178184	Ribosome biogenesis in eukaryotes
ANI_1_1980024	Ribosome biogenesis in eukaryotes
ANI_1_2014144	Ribosome biogenesis in eukaryotes
ANI_1_2022074	Ribosome biogenesis in eukaryotes
ANI_1_2038144	Ribosome biogenesis in eukaryotes
ANI_1_2124	Ribosome biogenesis in eukaryotes
ANI_1_2178184	Ribosome biogenesis in eukaryotes
ANI_1_2402014	Ribosome biogenesis in eukaryotes
ANI_1_250154	Ribosome biogenesis in eukaryotes
ANI_1_2600094	Ribosome biogenesis in eukaryotes
ANI_1_268074	Ribosome biogenesis in eukaryotes
ANI_1_294014	Ribosome biogenesis in eukaryotes
ANI_1_308154	Ribosome biogenesis in eukaryotes
ANI_1_3334024	Ribosome biogenesis in eukaryotes
ANI_1_334154	Ribosome biogenesis in eukaryotes
ANI_1_378074	Ribosome biogenesis in eukaryotes
ANI_1_4074	Ribosome biogenesis in eukaryotes
ANI_1_436154	Ribosome biogenesis in eukaryotes
ANI_1_440144	Ribosome biogenesis in eukaryotes
ANI_1_468184	Ribosome biogenesis in eukaryotes
ANI_1_484024	Ribosome biogenesis in eukaryotes
ANI_1_550014	Ribosome biogenesis in eukaryotes
ANI_1_56104	Ribosome biogenesis in eukaryotes
ANI_1_584024	Ribosome biogenesis in eukaryotes
ANI_1_586014	Ribosome biogenesis in eukaryotes
ANI_1_654084	Ribosome biogenesis in eukaryotes
ANI_1_666064	Ribosome biogenesis in eukaryotes
ANI_1_676024	Ribosome biogenesis in eukaryotes
ANI_1_698014	Ribosome biogenesis in eukaryotes
ANI_1_698124	Ribosome biogenesis in eukaryotes
ANI_1_746124	Ribosome biogenesis in eukaryotes
ANI_1_760064	Ribosome biogenesis in eukaryotes
ANI_1_782024	Ribosome biogenesis in eukaryotes
ANI_1_792064	Ribosome biogenesis in eukaryotes
ANI_1_794084	Ribosome biogenesis in eukaryotes
ANI_1_796084	Ribosome biogenesis in eukaryotes
ANI_1_94074	Ribosome biogenesis in eukaryotes
ANI_1_942074	Ribosome biogenesis in eukaryotes
ANI_1_968074	Ribosome biogenesis in eukaryotes
ANI_1_982034	Ribosome biogenesis in eukaryotes
ANI_1_1002064	Aminoacyl-tRNA biosynthesis
ANI_1_1132014	Aminoacyl-tRNA biosynthesis
ANI_1_1230024	Aminoacyl-tRNA biosynthesis
ANI_1_1264144	Aminoacyl-tRNA biosynthesis
ANI_1_1282014	Aminoacyl-tRNA biosynthesis
ANI_1_1374084	Aminoacyl-tRNA biosynthesis
ANI_1_148034	Aminoacyl-tRNA biosynthesis
ANI_1_1486014	Aminoacyl-tRNA biosynthesis
ANI_1_1490124	Aminoacyl-tRNA biosynthesis
ANI_1_1494104	Aminoacyl-tRNA biosynthesis
ANI_1_1694134	Aminoacyl-tRNA biosynthesis
ANI_1_1730184	Aminoacyl-tRNA biosynthesis
ANI_1_1790074	Aminoacyl-tRNA biosynthesis
ANI_1_1942024	Aminoacyl-tRNA biosynthesis
ANI_1_2016144	Aminoacyl-tRNA biosynthesis
ANI_1_2064014	Aminoacyl-tRNA biosynthesis
ANI_1_208104	Aminoacyl-tRNA biosynthesis
ANI_1_230054	Aminoacyl-tRNA biosynthesis
ANI_1_2306024	Aminoacyl-tRNA biosynthesis
ANI_1_236024	Aminoacyl-tRNA biosynthesis
ANI_1_2436014	Aminoacyl-tRNA biosynthesis
ANI_1_2672024	Aminoacyl-tRNA biosynthesis
ANI_1_270154	Aminoacyl-tRNA biosynthesis
ANI_1_336094	Aminoacyl-tRNA biosynthesis
ANI_1_350154	Aminoacyl-tRNA biosynthesis
ANI_1_420164	Aminoacyl-tRNA biosynthesis
ANI_1_448144	Aminoacyl-tRNA biosynthesis
ANI_1_464184	Aminoacyl-tRNA biosynthesis
ANI_1_56074	Aminoacyl-tRNA biosynthesis
ANI_1_592184	Aminoacyl-tRNA biosynthesis
ANI_1_686024	Aminoacyl-tRNA biosynthesis
ANI_1_720014	Aminoacyl-tRNA biosynthesis
ANI_1_748064	Aminoacyl-tRNA biosynthesis
ANI_1_760084	Aminoacyl-tRNA biosynthesis
ANI_1_78134	Aminoacyl-tRNA biosynthesis
ANI_1_860134	Aminoacyl-tRNA biosynthesis
ANI_1_964074	Aminoacyl-tRNA biosynthesis
Asnift01	Aminoacyl-tRNA biosynthesis
Asnift02	Aminoacyl-tRNA biosynthesis
Asnift03	Aminoacyl-tRNA biosynthesis
Asnift04	Aminoacyl-tRNA biosynthesis
Asnift05	Aminoacyl-tRNA biosynthesis
Asnift06	Aminoacyl-tRNA biosynthesis
Asnift07	Aminoacyl-tRNA biosynthesis
Asnift08	Aminoacyl-tRNA biosynthesis
Asnift09	Aminoacyl-tRNA biosynthesis
Asnift10	Aminoacyl-tRNA biosynthesis
Asnift11	Aminoacyl-tRNA biosynthesis
Asnift12	Aminoacyl-tRNA biosynthesis
Asnift13	Aminoacyl-tRNA biosynthesis
Asnift14	Aminoacyl-tRNA biosynthesis
Asnift15	Aminoacyl-tRNA biosynthesis
Asnift16	Aminoacyl-tRNA biosynthesis
Asnift17	Aminoacyl-tRNA biosynthesis
Asnift18	Aminoacyl-tRNA biosynthesis
Asnift19	Aminoacyl-tRNA biosynthesis
Asnift20	Aminoacyl-tRNA biosynthesis
Asnift21	Aminoacyl-tRNA biosynthesis
Asnift22	Aminoacyl-tRNA biosynthesis
Asnift23	Aminoacyl-tRNA biosynthesis
Asnift24	Aminoacyl-tRNA biosynthesis
Asnift25	Aminoacyl-tRNA biosynthesis
ANI_1_1004084	ABC transporters
ANI_1_1074164	ABC transporters
ANI_1_1156064	ABC transporters
ANI_1_1162134	ABC transporters
ANI_1_1296034	ABC transporters
ANI_1_1494064	ABC transporters
ANI_1_1634104	ABC transporters
ANI_1_1672014	ABC transporters
ANI_1_1706094	ABC transporters
ANI_1_1766184	ABC transporters
ANI_1_1822074	ABC transporters
ANI_1_1912074	ABC transporters
ANI_1_1966074	ABC transporters
ANI_1_1996074	ABC transporters
ANI_1_2014184	ABC transporters
ANI_1_2126184	ABC transporters
ANI_1_244154	ABC transporters
ANI_1_2456014	ABC transporters
ANI_1_2462074	ABC transporters
ANI_1_2844014	ABC transporters
ANI_1_380124	ABC transporters
ANI_1_452134	ABC transporters
ANI_1_480034	ABC transporters
ANI_1_486014	ABC transporters
ANI_1_506044	ABC transporters
ANI_1_512044	ABC transporters
ANI_1_626054	ABC transporters
