ID	Gene
KEY:ANI_1_1000014	ANI_1_1000014
KEY:ANI_1_1000034	ANI_1_1000034
KEY:ANI_1_1000064	ANI_1_1000064
KEY:ANI_1_1000074	ANI_1_1000074
KEY:ANI_1_1000084	ANI_1_1000084
KEY:ANI_1_1000124	ANI_1_1000124
KEY:ANI_1_100014	ANI_1_100014
KEY:ANI_1_1000164	ANI_1_1000164
KEY:ANI_1_100074	ANI_1_100074
KEY:ANI_1_100114	ANI_1_100114
KEY:ANI_1_100134	ANI_1_100134
KEY:ANI_1_100154	ANI_1_100154
KEY:ANI_1_100164	ANI_1_100164
KEY:ANI_1_100184	ANI_1_100184
KEY:ANI_1_1002034	ANI_1_1002034
KEY:ANI_1_1002064	ANI_1_1002064
KEY:ANI_1_1002074	ANI_1_1002074
KEY:ANI_1_1002084	ANI_1_1002084
KEY:ANI_1_1002094	ANI_1_1002094
KEY:ANI_1_1002144	ANI_1_1002144
KEY:ANI_1_1002164	ANI_1_1002164
KEY:ANI_1_1004014	ANI_1_1004014
KEY:ANI_1_1004034	ANI_1_1004034
KEY:ANI_1_1004074	ANI_1_1004074
KEY:ANI_1_1004084	ANI_1_1004084
KEY:ANI_1_1004104	ANI_1_1004104
KEY:ANI_1_1004164	ANI_1_1004164
KEY:ANI_1_10044	ANI_1_10044
KEY:ANI_1_10054	ANI_1_10054
KEY:ANI_1_1006034	ANI_1_1006034
KEY:ANI_1_1006064	ANI_1_1006064
KEY:ANI_1_1006074	ANI_1_1006074
KEY:ANI_1_1006084	ANI_1_1006084
KEY:ANI_1_1006104	ANI_1_1006104
KEY:ANI_1_1006164	ANI_1_1006164
KEY:ANI_1_1006184	ANI_1_1006184
KEY:ANI_1_1008024	ANI_1_1008024
KEY:ANI_1_1008034	ANI_1_1008034
KEY:ANI_1_1008064	ANI_1_1008064
KEY:ANI_1_1008074	ANI_1_1008074
KEY:ANI_1_1008084	ANI_1_1008084
KEY:ANI_1_1008104	ANI_1_1008104
KEY:ANI_1_1008124	ANI_1_1008124
KEY:ANI_1_1008144	ANI_1_1008144
KEY:ANI_1_1008184	ANI_1_1008184
KEY:ANI_1_1010024	ANI_1_1010024
KEY:ANI_1_1010034	ANI_1_1010034
KEY:ANI_1_1010064	ANI_1_1010064
KEY:ANI_1_1010084	ANI_1_1010084
KEY:ANI_1_1010164	ANI_1_1010164
KEY:ANI_1_1012034	ANI_1_1012034
KEY:ANI_1_1012064	ANI_1_1012064
KEY:ANI_1_1012074	ANI_1_1012074
KEY:ANI_1_1012084	ANI_1_1012084
KEY:ANI_1_1012094	ANI_1_1012094
KEY:ANI_1_1012104	ANI_1_1012104
KEY:ANI_1_1012124	ANI_1_1012124
KEY:ANI_1_1012164	ANI_1_1012164
KEY:ANI_1_1012184	ANI_1_1012184
KEY:ANI_1_10134	ANI_1_10134
KEY:ANI_1_1014024	ANI_1_1014024
KEY:ANI_1_1014034	ANI_1_1014034
KEY:ANI_1_1014064	ANI_1_1014064
KEY:ANI_1_1014084	ANI_1_1014084
KEY:ANI_1_1014124	ANI_1_1014124
KEY:ANI_1_1014164	ANI_1_1014164
KEY:ANI_1_1014184	ANI_1_1014184
KEY:ANI_1_10154	ANI_1_10154
KEY:ANI_1_1016024	ANI_1_1016024
KEY:ANI_1_1016034	ANI_1_1016034
KEY:ANI_1_1016084	ANI_1_1016084
KEY:ANI_1_1016094	ANI_1_1016094
KEY:ANI_1_1016124	ANI_1_1016124
KEY:ANI_1_1016144	ANI_1_1016144
KEY:ANI_1_1016164	ANI_1_1016164
KEY:ANI_1_1018034	ANI_1_1018034
KEY:ANI_1_1018084	ANI_1_1018084
KEY:ANI_1_1018094	ANI_1_1018094
KEY:ANI_1_1018104	ANI_1_1018104
KEY:ANI_1_1018124	ANI_1_1018124
KEY:ANI_1_1018144	ANI_1_1018144
KEY:ANI_1_1018164	ANI_1_1018164
KEY:ANI_1_1018184	ANI_1_1018184
KEY:ANI_1_1020014	ANI_1_1020014
KEY:ANI_1_1020024	ANI_1_1020024
KEY:ANI_1_1020034	ANI_1_1020034
KEY:ANI_1_1020084	ANI_1_1020084
KEY:ANI_1_1020094	ANI_1_1020094
KEY:ANI_1_1020104	ANI_1_1020104
KEY:ANI_1_1020124	ANI_1_1020124
KEY:ANI_1_1020134	ANI_1_1020134
KEY:ANI_1_1020164	ANI_1_1020164
KEY:ANI_1_1020184	ANI_1_1020184
KEY:ANI_1_102034	ANI_1_102034
KEY:ANI_1_102044	ANI_1_102044
KEY:ANI_1_102074	ANI_1_102074
KEY:ANI_1_102104	ANI_1_102104
KEY:ANI_1_102114	ANI_1_102114
KEY:ANI_1_102124	ANI_1_102124
KEY:ANI_1_102134	ANI_1_102134
KEY:ANI_1_102154	ANI_1_102154
KEY:ANI_1_102174	ANI_1_102174
KEY:ANI_1_1022014	ANI_1_1022014
KEY:ANI_1_1022024	ANI_1_1022024
KEY:ANI_1_1022034	ANI_1_1022034
KEY:ANI_1_1022064	ANI_1_1022064
KEY:ANI_1_1022084	ANI_1_1022084
KEY:ANI_1_1022124	ANI_1_1022124
KEY:ANI_1_1022164	ANI_1_1022164
KEY:ANI_1_1022184	ANI_1_1022184
KEY:ANI_1_1024014	ANI_1_1024014
KEY:ANI_1_1024024	ANI_1_1024024
KEY:ANI_1_1024034	ANI_1_1024034
KEY:ANI_1_1024064	ANI_1_1024064
KEY:ANI_1_1024074	ANI_1_1024074
KEY:ANI_1_1024084	ANI_1_1024084
KEY:ANI_1_1024094	ANI_1_1024094
KEY:ANI_1_1024104	ANI_1_1024104
KEY:ANI_1_1024124	ANI_1_1024124
KEY:ANI_1_1026034	ANI_1_1026034
KEY:ANI_1_1026064	ANI_1_1026064
KEY:ANI_1_1026074	ANI_1_1026074
KEY:ANI_1_1026084	ANI_1_1026084
KEY:ANI_1_1026094	ANI_1_1026094
KEY:ANI_1_1026104	ANI_1_1026104
KEY:ANI_1_1026124	ANI_1_1026124
KEY:ANI_1_1026164	ANI_1_1026164
KEY:ANI_1_1028014	ANI_1_1028014
KEY:ANI_1_1028034	ANI_1_1028034
KEY:ANI_1_1028064	ANI_1_1028064
KEY:ANI_1_1028074	ANI_1_1028074
KEY:ANI_1_1028084	ANI_1_1028084
KEY:ANI_1_1028094	ANI_1_1028094
KEY:ANI_1_1028104	ANI_1_1028104
KEY:ANI_1_1028124	ANI_1_1028124
KEY:ANI_1_1028164	ANI_1_1028164
KEY:ANI_1_1030024	ANI_1_1030024
KEY:ANI_1_1030084	ANI_1_1030084
KEY:ANI_1_1030104	ANI_1_1030104
KEY:ANI_1_1030124	ANI_1_1030124
KEY:ANI_1_1030134	ANI_1_1030134
KEY:ANI_1_1030164	ANI_1_1030164
KEY:ANI_1_1032034	ANI_1_1032034
KEY:ANI_1_1032064	ANI_1_1032064
KEY:ANI_1_1032084	ANI_1_1032084
KEY:ANI_1_1032094	ANI_1_1032094
KEY:ANI_1_1032124	ANI_1_1032124
KEY:ANI_1_1032134	ANI_1_1032134
KEY:ANI_1_1032164	ANI_1_1032164
KEY:ANI_1_1034014	ANI_1_1034014
KEY:ANI_1_1034024	ANI_1_1034024
KEY:ANI_1_1034034	ANI_1_1034034
KEY:ANI_1_1034074	ANI_1_1034074
KEY:ANI_1_1034084	ANI_1_1034084
KEY:ANI_1_1034124	ANI_1_1034124
KEY:ANI_1_1034164	ANI_1_1034164
KEY:ANI_1_1034184	ANI_1_1034184
KEY:ANI_1_1036014	ANI_1_1036014
KEY:ANI_1_1036024	ANI_1_1036024
KEY:ANI_1_1036034	ANI_1_1036034
KEY:ANI_1_1036064	ANI_1_1036064
KEY:ANI_1_1036074	ANI_1_1036074
KEY:ANI_1_1036084	ANI_1_1036084
KEY:ANI_1_1036104	ANI_1_1036104
KEY:ANI_1_1036124	ANI_1_1036124
KEY:ANI_1_1036164	ANI_1_1036164
KEY:ANI_1_1036184	ANI_1_1036184
KEY:ANI_1_1038014	ANI_1_1038014
