GO	GENE	CLASS
GO:0008483	MYCTH_2303566	MF
GO:0004587	MYCTH_2303566	MF
GO:0005780	MYCTH_2309335	CC
GO:0008080	MYCTH_2299204	MF
GO:0003924	MYCTH_72245	MF
GO:0005525	MYCTH_72245	MF
GO:0003735	MYCTH_2299621	MF
GO:0006281	MYCTH_2302625	BP
GO:0032040	MYCTH_2059229	CC
GO:0005576	MYCTH_2295438	CC
GO:0003676	MYCTH_2294054	MF
GO:0000166	MYCTH_2294054	MF
GO:0000166	MYCTH_2118845	MF
GO:0006511	MYCTH_2296798	BP
GO:0016301	MYCTH_2310076	MF
GO:0003951	MYCTH_2310076	MF
GO:0016787	MYCTH_49700	MF
GO:0004499	MYCTH_2310273	MF
GO:0000981	MYCTH_2308133	MF
GO:0043248	MYCTH_2302025	BP
GO:0003824	MYCTH_2294243	MF
GO:0016192	MYCTH_2296007	BP
GO:0006623	MYCTH_2296007	BP
GO:0035103	MYCTH_2296802	BP
GO:0022857	MYCTH_2059428	MF
GO:0001510	MYCTH_50843	BP
GO:0008168	MYCTH_50843	MF
GO:0016787	MYCTH_2310234	MF
GO:0016810	MYCTH_2310234	MF
GO:0006351	MYCTH_2306143	BP
GO:0006284	MYCTH_2302825	BP
GO:0003824	MYCTH_2302825	MF
GO:0004553	MYCTH_2121801	MF
GO:0016192	MYCTH_2298909	BP
GO:0046872	MYCTH_2309109	MF
GO:0016020	MYCTH_2302135	CC
GO:0000398	MYCTH_2092438	BP
GO:0016791	MYCTH_104551	MF
GO:0005375	MYCTH_2297964	MF
GO:0005886	MYCTH_2298153	CC
GO:0016491	MYCTH_2301625	MF
GO:0016020	MYCTH_2295358	CC
GO:0016020	MYCTH_2298040	CC
GO:0008521	MYCTH_2298040	MF
GO:0006457	MYCTH_59302	BP
GO:0005524	MYCTH_59302	MF
GO:0044237	MYCTH_2302808	BP
GO:0003676	MYCTH_2302856	MF
GO:0005643	MYCTH_2296460	CC
GO:0003824	MYCTH_2311065	MF
GO:0004356	MYCTH_2311065	MF
GO:0051537	MYCTH_2295074	MF
GO:0070072	MYCTH_2296996	BP
GO:0016491	MYCTH_2299483	MF
GO:0071949	MYCTH_2299483	MF
GO:0050660	MYCTH_2299483	MF
GO:0009922	MYCTH_79157	MF
GO:0004553	MYCTH_2301720	MF
GO:0005515	MYCTH_2294635	MF
GO:0022857	MYCTH_2117187	MF
GO:0004497	MYCTH_2060065	MF
GO:0005506	MYCTH_2060065	MF
GO:0035091	MYCTH_2305337	MF
GO:0005634	MYCTH_2298705	CC
GO:0004672	MYCTH_2136712	MF
GO:0036402	MYCTH_2095260	MF
GO:0005524	MYCTH_2095260	MF
GO:0005737	MYCTH_2095260	CC
GO:0008168	MYCTH_2304739	MF
GO:0003677	MYCTH_2295768	MF
GO:0003724	MYCTH_2298018	MF
GO:0003676	MYCTH_2298018	MF
GO:0016614	MYCTH_2306112	MF
GO:0050660	MYCTH_2306112	MF
GO:0046983	MYCTH_2144297	MF
GO:0003676	MYCTH_2304889	MF
GO:0004535	MYCTH_2304889	MF
GO:0003824	MYCTH_2303378	MF
GO:0003723	MYCTH_2294867	MF
GO:0003676	MYCTH_2294867	MF
GO:0005634	MYCTH_111107	CC
GO:0005784	MYCTH_2073127	CC
GO:0004672	MYCTH_2295050	MF
GO:0005515	MYCTH_2295050	MF
GO:0005524	MYCTH_2295050	MF
GO:0004834	MYCTH_2313212	MF
GO:0000162	MYCTH_2313212	BP
GO:0003824	MYCTH_2313212	MF
GO:0003723	MYCTH_2299099	MF
GO:0003676	MYCTH_2299099	MF
GO:0016020	MYCTH_2309651	CC
GO:0004812	MYCTH_2309291	MF
GO:0004829	MYCTH_2309291	MF
GO:0000166	MYCTH_2309291	MF
GO:0005524	MYCTH_2314846	MF
GO:0008972	MYCTH_2303459	MF
GO:0006772	MYCTH_2303459	BP
GO:0016021	MYCTH_2116256	CC
GO:0009922	MYCTH_67390	MF
GO:0003725	MYCTH_104267	MF
GO:0022857	MYCTH_2303233	MF
GO:0003676	MYCTH_2308335	MF
GO:0003724	MYCTH_2308335	MF
GO:0004088	MYCTH_2314123	MF
GO:0140053	MYCTH_2310822	BP
GO:0006397	MYCTH_2294247	BP
GO:0005515	MYCTH_2304799	MF
GO:0005524	MYCTH_2304799	MF
GO:0004497	MYCTH_108294	MF
GO:0005506	MYCTH_108294	MF
GO:0005515	MYCTH_2071423	MF
GO:0016705	MYCTH_2064613	MF
GO:0004497	MYCTH_2064613	MF
GO:0046872	MYCTH_2300751	MF
GO:0006508	MYCTH_2300751	BP
GO:0004416	MYCTH_2314544	MF
GO:0006364	MYCTH_2304003	BP
GO:0005975	MYCTH_51766	BP
GO:0030246	MYCTH_51766	MF
GO:0003824	MYCTH_51766	MF
GO:0016021	MYCTH_2296939	CC
GO:0005740	MYCTH_2303180	CC
GO:0005515	MYCTH_2304934	MF
GO:0006886	MYCTH_2312523	BP
GO:0005515	MYCTH_2312523	MF
GO:0005515	MYCTH_2298478	MF
GO:0005739	MYCTH_2300328	CC
GO:0006801	MYCTH_2297816	BP
GO:0005618	MYCTH_2315557	CC
GO:0004553	MYCTH_2315557	MF
GO:0016857	MYCTH_2085453	MF
GO:0005515	MYCTH_2304388	MF
GO:0003743	MYCTH_2304388	MF
GO:0005634	MYCTH_82678	CC
GO:0005515	MYCTH_2304626	MF
GO:0005227	MYCTH_2306093	MF
GO:0016020	MYCTH_2306093	CC
GO:0003824	MYCTH_2069574	MF
GO:0000105	MYCTH_2069574	BP
GO:0006816	MYCTH_2306489	BP
GO:0016021	MYCTH_2306489	CC
GO:0006812	MYCTH_2306489	BP
GO:0005509	MYCTH_2304410	MF
GO:0000981	MYCTH_2070790	MF
GO:0003743	MYCTH_2296955	MF
GO:0016603	MYCTH_2294116	MF
GO:0005515	MYCTH_2305371	MF
GO:0016409	MYCTH_2305371	MF
GO:0003676	MYCTH_2306810	MF
GO:0005515	MYCTH_2306810	MF
GO:0008270	MYCTH_2297186	MF
GO:0061630	MYCTH_2297186	MF
GO:0015297	MYCTH_2298883	MF
GO:0042910	MYCTH_2298883	MF
GO:0004843	MYCTH_2302176	MF
GO:0005515	MYCTH_2302176	MF
GO:0016746	MYCTH_2307188	MF
GO:0016747	MYCTH_2307188	MF
GO:0016491	MYCTH_117146	MF
GO:0004672	MYCTH_81343	MF
GO:0005524	MYCTH_81343	MF
GO:0003887	MYCTH_2139989	MF
GO:0000166	MYCTH_2139989	MF
GO:0003677	MYCTH_2139989	MF
GO:0003676	MYCTH_2139989	MF
GO:0000439	MYCTH_2312237	CC
GO:0010960	MYCTH_2306997	BP
GO:0004672	MYCTH_2310983	MF
GO:0009063	MYCTH_2064932	BP
GO:0006457	MYCTH_2308733	BP
GO:0008608	MYCTH_2312047	BP
GO:0004252	MYCTH_33003	MF
GO:0008236	MYCTH_33003	MF
GO:0006508	MYCTH_33003	BP
GO:0015986	MYCTH_57224	BP
GO:0016614	MYCTH_2305709	MF
GO:0050660	MYCTH_2305709	MF
GO:0055085	MYCTH_2063420	BP
GO:0018580	MYCTH_2310110	MF
GO:0003824	MYCTH_2310110	MF
GO:0005975	MYCTH_2302517	BP
GO:0004555	MYCTH_2302517	MF
GO:0022857	MYCTH_2298042	MF
GO:0016021	MYCTH_2298042	CC
GO:0003723	MYCTH_2299573	MF
GO:0070197	MYCTH_2135627	BP
GO:0003677	MYCTH_2135627	MF
GO:0004421	MYCTH_111934	MF
GO:0016746	MYCTH_111934	MF
GO:0033179	MYCTH_2316483	CC
GO:0046961	MYCTH_2316483	MF
GO:0016021	MYCTH_108890	CC
GO:0016020	MYCTH_108890	CC
GO:0022857	MYCTH_108890	MF
GO:0005515	MYCTH_2303507	MF
GO:0003676	MYCTH_2058658	MF
GO:0004386	MYCTH_2058658	MF
GO:0006457	MYCTH_2308301	BP
GO:0016579	MYCTH_2308296	BP
GO:0005515	MYCTH_2308296	MF
GO:0005515	MYCTH_2301410	MF
GO:0005680	MYCTH_2301410	CC
GO:0016020	MYCTH_2304302	CC
GO:0004604	MYCTH_2298133	MF
GO:0003824	MYCTH_2298133	MF
GO:0005525	MYCTH_58873	MF
GO:0000049	MYCTH_2310824	MF
GO:0004364	MYCTH_2299397	MF
GO:0005515	MYCTH_2299397	MF
GO:0005515	MYCTH_2305865	MF
GO:0071985	MYCTH_2305865	BP
GO:0001164	MYCTH_2074077	MF
GO:0003924	MYCTH_113239	MF
GO:0022857	MYCTH_2312878	MF
GO:0046907	MYCTH_2304677	BP
GO:0006913	MYCTH_2304677	BP
GO:0005680	MYCTH_2309065	CC
GO:0005506	MYCTH_2060641	MF
GO:0003824	MYCTH_2311038	MF
GO:0005515	MYCTH_79077	MF
GO:0018024	MYCTH_79077	MF
GO:0003676	MYCTH_79077	MF
GO:0042800	MYCTH_79077	MF
GO:0000981	MYCTH_2300906	MF
GO:0003676	MYCTH_2314855	MF
GO:0003723	MYCTH_2314855	MF
GO:0005783	MYCTH_2296080	CC
GO:0022857	MYCTH_2111282	MF
GO:0016021	MYCTH_2111282	CC
GO:0005515	MYCTH_2299733	MF
GO:0005515	MYCTH_2300285	MF
GO:0003870	MYCTH_2304147	MF
GO:0003824	MYCTH_2304147	MF
GO:0009058	MYCTH_2304147	BP
GO:0016740	MYCTH_2304147	MF
GO:0005515	MYCTH_2020741	MF
GO:0006886	MYCTH_2307451	BP
GO:0071949	MYCTH_2314986	MF
GO:0004190	MYCTH_2313164	MF
GO:0016491	MYCTH_66783	MF
GO:0071949	MYCTH_66783	MF
GO:0050660	MYCTH_66783	MF
GO:0005524	MYCTH_2296345	MF
GO:0016787	MYCTH_2067496	MF
GO:0003677	MYCTH_2299220	MF
GO:0016491	MYCTH_2090608	MF
GO:0017183	MYCTH_2312941	BP
GO:0004672	MYCTH_2306229	MF
GO:0016787	MYCTH_2300903	MF
GO:0006506	MYCTH_2307847	BP
GO:0004198	MYCTH_2140707	MF
GO:0006801	MYCTH_2296038	BP
GO:0003924	MYCTH_2300282	MF
GO:0005525	MYCTH_2300282	MF
GO:0051998	MYCTH_2301882	MF
GO:0004672	MYCTH_2305950	MF
GO:0006508	MYCTH_39279	BP
GO:0030600	MYCTH_39279	MF
GO:0006338	MYCTH_2304085	BP
GO:0046983	MYCTH_2136757	MF
GO:0016616	MYCTH_2295290	MF
GO:0000287	MYCTH_2295290	MF
GO:0006352	MYCTH_2132560	BP
GO:0017025	MYCTH_2132560	MF
GO:0000742	MYCTH_102790	BP
GO:0000506	MYCTH_2113569	CC
GO:0003955	MYCTH_2295307	MF
