GO	GENE	CLASS
GO:0055085	ANI_1_100014	BP
GO:0016021	ANI_1_100014	CC
GO:0022857	ANI_1_100014	MF
GO:0055085	ANI_1_100014	BP
GO:0016020	ANI_1_100014	CC
GO:0022857	ANI_1_100014	MF
GO:0005507	ANI_1_2154014	MF
GO:0055114	ANI_1_2154014	BP
GO:0016491	ANI_1_2154014	MF
GO:0005507	ANI_1_2154014	MF
GO:0055114	ANI_1_2154014	BP
GO:0016765	ANI_1_2156014	MF
GO:0016021	ANI_1_2156014	CC
GO:0008171	ANI_1_2158014	MF
GO:0006470	ANI_1_2162014	BP
GO:0004725	ANI_1_2162014	MF
GO:0004725	ANI_1_2162014	MF
GO:0016311	ANI_1_2162014	BP
GO:0016791	ANI_1_2162014	MF
GO:0016311	ANI_1_2162014	BP
GO:0009116	ANI_1_2166014	BP
GO:0003824	ANI_1_2166014	MF
GO:0003824	ANI_1_2166014	MF
GO:0009116	ANI_1_2166014	BP
GO:0008757	ANI_1_2168014	MF
GO:0003950	ANI_1_2182014	MF
GO:0030915	ANI_1_2188014	CC
GO:0006281	ANI_1_2188014	BP
GO:0046872	ANI_1_128014	MF
GO:0000398	ANI_1_128014	BP
GO:0089701	ANI_1_128014	CC
GO:0003723	ANI_1_128014	MF
GO:0003676	ANI_1_128014	MF
GO:0055114	ANI_1_2190014	BP
GO:0016491	ANI_1_2190014	MF
GO:0016491	ANI_1_132014	MF
GO:0046982	ANI_1_134014	MF
GO:0000122	ANI_1_134014	BP
GO:0017054	ANI_1_134014	CC
GO:0003712	ANI_1_134014	MF
GO:0003824	ANI_1_2194014	MF
GO:0016787	ANI_1_2194014	MF
GO:0003824	ANI_1_2198014	MF
GO:0055114	ANI_1_2198014	BP
GO:0016740	ANI_1_2198014	MF
GO:0016491	ANI_1_2198014	MF
GO:0016787	ANI_1_2204014	MF
GO:0015703	ANI_1_2206014	BP
GO:0015109	ANI_1_2206014	MF
GO:0005975	ANI_1_2218014	BP
GO:0004553	ANI_1_2218014	MF
GO:0022857	ANI_1_2220014	MF
GO:0022857	ANI_1_2220014	MF
GO:0055085	ANI_1_2220014	BP
GO:0016104	ANI_1_2222014	BP
GO:0005811	ANI_1_2222014	CC
GO:0042300	ANI_1_2222014	MF
GO:0016866	ANI_1_2222014	MF
GO:0000250	ANI_1_2222014	MF
GO:0016866	ANI_1_2222014	MF
GO:0019746	ANI_1_2222014	BP
GO:0005975	ANI_1_2226014	BP
GO:0004553	ANI_1_2226014	MF
GO:0003824	ANI_1_2226014	MF
GO:0000981	ANI_1_2228014	MF
GO:0042025	ANI_1_2228014	CC
GO:0008270	ANI_1_2228014	MF
GO:0006355	ANI_1_2228014	BP
GO:0005634	ANI_1_2228014	CC
GO:0006351	ANI_1_2228014	BP
GO:0003677	ANI_1_2228014	MF
GO:0008270	ANI_1_2228014	MF
GO:0003824	ANI_1_2230014	MF
GO:0022857	ANI_1_2232014	MF
GO:0022857	ANI_1_2232014	MF
GO:0055085	ANI_1_2232014	BP
GO:0005515	ANI_1_2240014	MF
GO:0050660	ANI_1_2250014	MF
GO:0050660	ANI_1_2250014	MF
GO:0055114	ANI_1_2250014	BP
GO:0016491	ANI_1_2250014	MF
GO:0071949	ANI_1_2250014	MF
GO:0005515	ANI_1_2256014	MF
GO:0055114	ANI_1_2262014	BP
GO:0006561	ANI_1_2262014	BP
GO:0055114	ANI_1_2262014	BP
GO:0004735	ANI_1_2262014	MF
GO:0004657	ANI_1_2264014	MF
GO:0006562	ANI_1_2264014	BP
GO:0005975	ANI_1_2268014	BP
GO:0003824	ANI_1_2268014	MF
GO:0003824	ANI_1_2268014	MF
GO:0005975	ANI_1_2268014	BP
GO:0030246	ANI_1_2268014	MF
GO:0003824	ANI_1_2268014	MF
GO:0004096	ANI_1_2270014	MF
GO:0006979	ANI_1_2270014	BP
GO:0055114	ANI_1_2270014	BP
GO:0020037	ANI_1_2270014	MF
GO:0004096	ANI_1_2270014	MF
GO:0055114	ANI_1_2270014	BP
GO:0020037	ANI_1_2270014	MF
GO:0055114	ANI_1_2270014	BP
GO:0020037	ANI_1_2270014	MF
GO:0020037	ANI_1_2270014	MF
GO:0030976	ANI_1_2276014	MF
GO:0030976	ANI_1_2276014	MF
GO:0003824	ANI_1_2276014	MF
GO:0000287	ANI_1_2276014	MF
GO:0030976	ANI_1_2276014	MF
GO:0022857	ANI_1_2278014	MF
GO:0022857	ANI_1_2278014	MF
GO:0055085	ANI_1_2278014	BP
GO:0005385	ANI_1_208014	MF
GO:0071577	ANI_1_208014	BP
GO:0016021	ANI_1_208014	CC
GO:0055085	ANI_1_208014	BP
GO:0046873	ANI_1_208014	MF
GO:0016020	ANI_1_208014	CC
GO:0030001	ANI_1_208014	BP
GO:0003824	ANI_1_2282014	MF
GO:0006508	ANI_1_216014	BP
GO:0004197	ANI_1_216014	MF
GO:0008236	ANI_1_218014	MF
GO:0004252	ANI_1_218014	MF
GO:0006508	ANI_1_218014	BP
GO:0006508	ANI_1_218014	BP
