GO	GENE	CLASS
GO:0008168	TRIREDRAFT_2186	MF
GO:0003824	TRIREDRAFT_2211	MF
GO:0006606	TRIREDRAFT_21117	BP
GO:0006606	TRIREDRAFT_21117	BP
GO:0061608	TRIREDRAFT_21117	MF
GO:0005515	TRIREDRAFT_21117	MF
GO:0061608	TRIREDRAFT_21117	MF
GO:0005737	TRIREDRAFT_21117	CC
GO:0006606	TRIREDRAFT_21117	BP
GO:0042025	TRIREDRAFT_21117	CC
GO:0008410	TRIREDRAFT_21120	MF
GO:0046872	TRIREDRAFT_21150	MF
GO:0016570	TRIREDRAFT_21152	BP
GO:0006368	TRIREDRAFT_21152	BP
GO:0016593	TRIREDRAFT_21152	CC
GO:0005515	TRIREDRAFT_21166	MF
GO:0005524	TRIREDRAFT_21168	MF
GO:0006468	TRIREDRAFT_21168	BP
GO:0004672	TRIREDRAFT_21168	MF
GO:0006468	TRIREDRAFT_21168	BP
GO:0004672	TRIREDRAFT_21168	MF
GO:0005524	TRIREDRAFT_21168	MF
GO:0006412	TRIREDRAFT_21170	BP
GO:0005840	TRIREDRAFT_21170	CC
GO:0003735	TRIREDRAFT_21170	MF
GO:0006364	TRIREDRAFT_21176	BP
GO:0030515	TRIREDRAFT_21176	MF
GO:0019901	TRIREDRAFT_21181	MF
GO:0005849	TRIREDRAFT_21198	CC
GO:0006378	TRIREDRAFT_21198	BP
GO:0003729	TRIREDRAFT_21198	MF
GO:0006355	TRIREDRAFT_21211	BP
GO:0003700	TRIREDRAFT_21211	MF
GO:0043565	TRIREDRAFT_21211	MF
GO:0003700	TRIREDRAFT_21211	MF
GO:0006355	TRIREDRAFT_21211	BP
GO:0043565	TRIREDRAFT_21211	MF
GO:0035091	TRIREDRAFT_21214	MF
GO:0005515	TRIREDRAFT_21221	MF
GO:0006511	TRIREDRAFT_21246	BP
GO:0097255	TRIREDRAFT_21250	CC
GO:0043139	TRIREDRAFT_21250	MF
GO:0035267	TRIREDRAFT_21250	CC
GO:0031011	TRIREDRAFT_21250	CC
GO:0043139	TRIREDRAFT_21250	MF
GO:0005524	TRIREDRAFT_21250	MF
GO:0003678	TRIREDRAFT_21250	MF
GO:0046983	TRIREDRAFT_21255	MF
GO:0003824	TRIREDRAFT_21256	MF
GO:0004722	TRIREDRAFT_21256	MF
GO:0006470	TRIREDRAFT_21256	BP
GO:0004540	TRIREDRAFT_21278	MF
GO:0030677	TRIREDRAFT_21278	CC
GO:0006396	TRIREDRAFT_21278	BP
GO:0003723	TRIREDRAFT_21278	MF
GO:0008033	TRIREDRAFT_21278	BP
GO:0030677	TRIREDRAFT_21278	CC
GO:0004540	TRIREDRAFT_21278	MF
GO:0003723	TRIREDRAFT_21278	MF
GO:0006396	TRIREDRAFT_21278	BP
GO:0003723	TRIREDRAFT_21278	MF
GO:0004540	TRIREDRAFT_21278	MF
GO:0016746	TRIREDRAFT_21279	MF
GO:0044255	TRIREDRAFT_21279	BP
GO:0008374	TRIREDRAFT_21279	MF
GO:0046872	TRIREDRAFT_21288	MF
GO:0003924	TRIREDRAFT_21294	MF
GO:0005525	TRIREDRAFT_21294	MF
GO:0005525	TRIREDRAFT_21294	MF
GO:0007264	TRIREDRAFT_21294	BP
GO:0005525	TRIREDRAFT_21294	MF
GO:0005524	TRIREDRAFT_21306	MF
GO:0006468	TRIREDRAFT_21306	BP
GO:0004672	TRIREDRAFT_21306	MF
GO:0005524	TRIREDRAFT_21306	MF
GO:0006468	TRIREDRAFT_21306	BP
GO:0004672	TRIREDRAFT_21306	MF
GO:0016787	TRIREDRAFT_21327	MF
GO:0006378	TRIREDRAFT_21330	BP
GO:0006379	TRIREDRAFT_21330	BP
GO:0006369	TRIREDRAFT_21330	BP
GO:0005849	TRIREDRAFT_21330	CC
GO:0008270	TRIREDRAFT_21342	MF
GO:0006396	TRIREDRAFT_21363	BP
GO:0009451	TRIREDRAFT_21363	BP
GO:0009982	TRIREDRAFT_21363	MF
GO:0003723	TRIREDRAFT_21363	MF
GO:0001522	TRIREDRAFT_21363	BP
GO:0005524	TRIREDRAFT_21373	MF
GO:0005524	TRIREDRAFT_21373	MF
GO:0006468	TRIREDRAFT_21373	BP
GO:0004672	TRIREDRAFT_21373	MF
GO:0003676	TRIREDRAFT_21384	MF
GO:0042273	TRIREDRAFT_21388	BP
GO:0003729	TRIREDRAFT_21388	MF
GO:0016020	TRIREDRAFT_21392	CC
GO:0097367	TRIREDRAFT_21396	MF
GO:1901135	TRIREDRAFT_21396	BP
GO:0005737	TRIREDRAFT_21398	CC
GO:0051536	TRIREDRAFT_21398	MF
GO:0016226	TRIREDRAFT_21398	BP
GO:0006096	TRIREDRAFT_21406	BP
GO:0004618	TRIREDRAFT_21406	MF
GO:0003824	TRIREDRAFT_24586	MF
GO:0006260	TRIREDRAFT_25225	BP
GO:0006281	TRIREDRAFT_25225	BP
GO:0003689	TRIREDRAFT_25225	MF
GO:0005663	TRIREDRAFT_25225	CC
GO:0005524	TRIREDRAFT_25225	MF
GO:0006260	TRIREDRAFT_25225	BP
GO:0003677	TRIREDRAFT_25225	MF
GO:0006260	TRIREDRAFT_25225	BP
GO:0005663	TRIREDRAFT_25225	CC
GO:0003689	TRIREDRAFT_25225	MF
GO:0005524	TRIREDRAFT_25225	MF
GO:0005524	TRIREDRAFT_25225	MF
GO:0008017	TRIREDRAFT_25947	MF
GO:0017025	TRIREDRAFT_26575	MF
GO:0006352	TRIREDRAFT_26575	BP
GO:0070897	TRIREDRAFT_26575	BP
GO:0006383	TRIREDRAFT_26575	BP
GO:0000126	TRIREDRAFT_26575	CC
GO:0000995	TRIREDRAFT_26575	MF
GO:0004721	TRIREDRAFT_27406	MF
GO:0007096	TRIREDRAFT_27406	BP
GO:0006470	TRIREDRAFT_27406	BP
GO:0016311	TRIREDRAFT_27406	BP
GO:0004725	TRIREDRAFT_27406	MF
GO:0006470	TRIREDRAFT_27406	BP
GO:0008138	TRIREDRAFT_27406	MF
GO:0016311	TRIREDRAFT_27406	BP
GO:0016791	TRIREDRAFT_27406	MF
GO:0016311	TRIREDRAFT_27406	BP
GO:0008138	TRIREDRAFT_27406	MF
GO:0005506	TRIREDRAFT_27722	MF
GO:0055114	TRIREDRAFT_27722	BP
GO:0020037	TRIREDRAFT_27722	MF
GO:0016705	TRIREDRAFT_27722	MF
GO:0005506	TRIREDRAFT_27722	MF
GO:0020037	TRIREDRAFT_27722	MF
GO:0055114	TRIREDRAFT_27722	BP
GO:0016705	TRIREDRAFT_27722	MF
GO:0016705	TRIREDRAFT_27722	MF
GO:0055114	TRIREDRAFT_27722	BP
GO:0005744	TRIREDRAFT_28199	CC
GO:0015031	TRIREDRAFT_28199	BP
GO:0005743	TRIREDRAFT_28199	CC
GO:0045454	TRIREDRAFT_28928	BP
GO:0016491	TRIREDRAFT_30668	MF
GO:0003824	TRIREDRAFT_31551	MF
GO:0009058	TRIREDRAFT_31551	BP
GO:0009435	TRIREDRAFT_31551	BP
GO:0016779	TRIREDRAFT_31551	MF
GO:0003824	TRIREDRAFT_31869	MF
GO:0009058	TRIREDRAFT_31869	BP
GO:0009435	TRIREDRAFT_31869	BP
GO:0016779	TRIREDRAFT_31869	MF
GO:0005515	TRIREDRAFT_32402	MF
GO:0006450	TRIREDRAFT_32714	BP
