Geneid,C_1,C_2,C_3,T_1,T_2,T_3
MYCTH_61755,51,86,71,281,350,296
MYCTH_t1,0,0,0,0,0,0
MYCTH_2294213,1901,3004,2599,10372,13727,9913
MYCTH_2294215,4723,8063,7326,7670,9340,8077
MYCTH_2294216,463,696,791,1019,1465,1018
MYCTH_2131445,262,464,456,760,1141,903
MYCTH_2294218,1812,2770,2751,3630,4576,4261
MYCTH_2294220,598,1058,909,2497,3192,2632
MYCTH_2122038,72,139,76,44,61,69
MYCTH_2294223,93,163,106,714,1010,959
MYCTH_2294224,67,96,88,124,99,79
MYCTH_2294226,332,667,548,1296,1355,1132
MYCTH_2294230,595,895,816,2133,2726,2190
MYCTH_2294231,380,560,576,2404,2406,2217
MYCTH_2294232,620,1055,1021,1436,1574,1068
MYCTH_2294233,84,148,110,103,182,145
MYCTH_2294236,275,494,502,927,1124,884
MYCTH_2294238,613,900,848,2403,2910,2555
MYCTH_2294240,1655,2787,2739,16163,20899,18060
MYCTH_2294243,2341,4089,4147,5700,7245,6117
MYCTH_2050447,221,467,404,363,517,442
MYCTH_2294247,757,1320,1142,1455,1755,1735
MYCTH_2294249,407,579,574,774,1044,864
MYCTH_2294250,873,1336,1121,2922,4285,3384
MYCTH_2294252,1149,1788,1678,5824,7671,6206
MYCTH_2294253,1361,2110,1860,4303,6028,5002
MYCTH_113715,1423,2272,2082,3730,4975,4196
MYCTH_2294261,975,1744,1626,730,860,665
MYCTH_2294264,519,908,1012,910,1340,1091
MYCTH_105600,412,696,740,337,585,522
MYCTH_2294267,482,622,514,3940,4876,3680
MYCTH_2294268,707,1242,1102,5174,6301,5249
MYCTH_2294274,778,1126,830,9140,12135,10445
MYCTH_2073127,2495,4050,3611,2501,3420,2838
MYCTH_2122065,12,12,9,229,249,194
MYCTH_2055311,580,927,805,2879,3799,3292
MYCTH_2294281,968,1641,1496,2856,3606,3347
MYCTH_43671,1388,2116,1949,123828,159784,140052
MYCTH_2073132,1115,1784,1731,2865,3686,2925
MYCTH_2294289,382,664,598,398,477,426
MYCTH_90789,44,74,81,252,372,247
MYCTH_2294293,412,665,663,995,1267,1214
MYCTH_2122073,8301,13577,12432,20568,25938,22875
MYCTH_2294298,1571,2471,2287,2935,3663,2983
MYCTH_2294300,596,882,783,2893,3603,2704
MYCTH_2122076,15,19,11,62,64,40
MYCTH_2294303,1394,2284,2054,10499,13244,11272
MYCTH_2313301,1884,3210,2677,5761,7504,6525
MYCTH_2074571,662,1083,1179,2759,3771,3104
MYCTH_2106095,202,305,328,337,371,340
MYCTH_2294307,382,632,545,394,435,510
MYCTH_2294309,1170,1854,1996,3311,4215,3539
MYCTH_2294310,336,497,527,1923,3290,1898
MYCTH_2313303,4056,6630,6200,15234,20127,16498
MYCTH_2294314,650,1084,1027,1276,1630,1272
MYCTH_2313305,5072,8823,8465,33099,41814,35929
MYCTH_2294321,5298,8693,8574,24597,31928,27500
MYCTH_2294324,341,560,611,749,1076,1000
MYCTH_2294326,487,663,678,2234,2901,2324
MYCTH_2294330,2221,3867,3709,2283,2695,2322
MYCTH_2294333,497,902,711,937,1483,1227
MYCTH_2294336,215,307,227,719,1055,792
MYCTH_2114188,26,33,38,46,80,100
MYCTH_2294340,247,490,459,666,729,579
MYCTH_2294343,1160,1781,1894,8031,10520,8365
MYCTH_2294344,189,379,340,987,1246,1064
MYCTH_61858,3994,6709,6542,8612,10965,9290
MYCTH_2294347,706,1125,1016,949,1310,1203
MYCTH_2294348,16,16,33,11,2,9
MYCTH_2294350,334,418,389,2498,3459,3034
MYCTH_2106114,2,12,16,4,1,2
MYCTH_2294353,757,1335,1110,4537,5697,5200
MYCTH_2122102,584,951,833,847,976,858
MYCTH_2294358,537,866,929,2293,2830,2383
MYCTH_2122104,41,50,61,233,291,254
MYCTH_2294361,304,523,549,6906,9119,7591
MYCTH_2122106,25,17,51,6,20,14
MYCTH_2294362,358,649,482,2091,2638,2414
MYCTH_2294366,777,1363,1252,3468,4438,3797
MYCTH_2294367,754,1037,982,2117,2829,2239
MYCTH_2294369,487,808,658,1454,2352,2121
MYCTH_2294372,952,1375,1364,3355,4309,3649
MYCTH_2294375,4328,6969,6467,13270,16872,14250
MYCTH_75696,427,563,633,1629,2326,1948
MYCTH_2294384,68,134,121,365,491,489
MYCTH_2294385,12,29,47,77,104,48
MYCTH_2294386,623,1042,964,3449,4205,3446
MYCTH_98729,733,1321,1157,1589,2142,1807
MYCTH_2294390,467,754,690,1842,2674,2140
MYCTH_2294392,517,834,842,1327,1999,1653
MYCTH_2294394,956,1616,1615,1589,1752,1607
MYCTH_2294398,344,636,489,804,1119,948
MYCTH_2294400,701,1297,973,3083,4601,4020
MYCTH_2294401,309,504,440,2680,3107,2329
MYCTH_2087238,1031,1689,1733,2276,2390,2091
MYCTH_2294405,365,653,544,433,437,422
MYCTH_2294406,537,847,1019,1491,2049,1679
MYCTH_2294408,228,314,283,701,818,728
MYCTH_2294412,949,1487,1384,3653,4132,3599
MYCTH_2294414,328,560,513,1021,1351,1061
MYCTH_2294415,1442,2460,2248,8686,11629,9513
MYCTH_2294417,124,260,270,79,95,106
MYCTH_2294418,908,1340,1570,2079,2682,2070
MYCTH_2294421,301,476,377,652,929,691
MYCTH_2294422,849,1451,1374,2447,3157,2774
MYCTH_2294426,803,1291,1004,1832,2877,2425
MYCTH_2294427,2365,4055,4488,4664,5722,4668
MYCTH_2294429,858,1386,1430,3368,4565,4016
MYCTH_2294430,2437,3952,3732,2506,3292,2584
MYCTH_2294433,1250,1836,2027,4127,6078,5116
MYCTH_2294435,769,1188,1008,1390,2034,1447
MYCTH_2074663,1820,3072,2335,6740,9038,7714
MYCTH_105650,11607,20184,17574,15263,18895,17061
MYCTH_2294445,504,709,696,822,1001,847
MYCTH_2041072,46,81,55,208,292,279
MYCTH_2294446,458,785,736,1098,1547,1140
MYCTH_42476,53,122,102,126,185,124
MYCTH_2294448,699,1069,1040,3650,5245,4240
MYCTH_75762,948,1490,1253,2425,3307,2667
MYCTH_2294455,245,415,430,1647,2283,1829
MYCTH_2054555,1268,1993,2265,257,295,234
MYCTH_2294459,1088,1614,1486,5370,6169,5280
MYCTH_16224,191,325,303,365,477,399
MYCTH_2122159,3257,5770,5694,9335,11426,9482
MYCTH_2054177,2,0,3,10,4,2
MYCTH_2054788,0,0,0,0,0,0
MYCTH_2050200,0,0,0,0,0,0
MYCTH_2313324,2453,4036,3756,5107,5820,5423
MYCTH_2294471,227,360,401,514,674,453
MYCTH_2294472,859,1405,1387,2826,3714,3147
MYCTH_2294476,2458,3838,3648,6693,9067,7467
MYCTH_2294478,848,1308,1247,5050,6979,5478
MYCTH_2294482,978,1628,1680,612,912,683
MYCTH_2294483,254,382,349,833,1115,1056
MYCTH_2294485,520,884,697,1415,2090,1648
MYCTH_98773,63,63,92,135,183,144
MYCTH_2122175,44,70,60,88,105,79
MYCTH_2294490,2166,3378,3742,6439,7762,6643
MYCTH_2294493,88,225,168,184,256,214
MYCTH_2294496,3984,6548,6278,9282,12110,10276
MYCTH_2019108,465,821,776,549,831,655
MYCTH_2294498,1849,3124,3362,12743,14318,12586
MYCTH_2294499,627,1002,1078,4346,4924,3899
MYCTH_2313329,1316,2170,2086,4134,4708,3558
MYCTH_2294503,701,1047,975,3719,4901,3906
MYCTH_2294504,717,1300,1222,1600,1649,1498
MYCTH_14609,59,84,102,70,78,60
MYCTH_2313331,2220,3603,3580,13954,16583,12488
MYCTH_44554,1015,1633,1422,2882,3678,3216
MYCTH_105669,625,1019,960,2293,3069,2779
MYCTH_2294518,146,177,167,620,850,664
MYCTH_2294520,307,398,351,1272,1601,1305
MYCTH_2294522,353,668,521,504,630,545
MYCTH_2294523,442,769,697,665,857,756
MYCTH_2294525,828,1282,903,6371,8312,6453
MYCTH_2122196,12,13,7,11,41,21
MYCTH_2313333,296,486,416,414,555,396
MYCTH_2122199,76,177,149,207,178,151
