Geneid,C_1,C_2,C_3,T_1,T_2,T_3
MYCTH_2297950,990,1531,1349,2549,3489,2925
MYCTH_113450,314,521,516,14659,22382,19655
MYCTH_2297953,2369,3897,3586,11706,14948,12042
MYCTH_2297954,58,72,115,36,83,49
MYCTH_2297957,470,783,710,4568,6146,4819
MYCTH_90344,655,978,896,321,390,370
MYCTH_2297964,234,361,437,550,701,644
MYCTH_2132441,4849,8179,7285,11875,15143,12498
MYCTH_2297971,5099,9069,8112,13932,18073,15380
MYCTH_2297975,740,1360,1154,2106,2317,1983
MYCTH_2297977,1417,2238,2173,2803,3380,2836
MYCTH_2297981,1004,1673,1338,1736,2177,2027
MYCTH_2297984,1280,2138,1847,6257,8463,5976
MYCTH_2297985,1249,2065,1978,8304,10538,8359
MYCTH_113457,1690,2703,2283,6781,9084,7860
MYCTH_86350,85,194,100,2,25,8
MYCTH_90354,991,1711,1933,160,207,135
MYCTH_74927,845,1389,1232,4345,6183,4994
MYCTH_2314005,2998,5096,4671,7360,9437,7823
MYCTH_2035984,1150,1826,1607,1462,2057,1587
MYCTH_40668,2558,3668,2932,8542,10783,8694
MYCTH_2298010,278,464,398,84,81,65
MYCTH_2298011,460,774,711,734,1054,967
MYCTH_86355,984,1695,1613,919,955,798
MYCTH_2298018,8417,14174,14286,19113,24083,21190
MYCTH_2073265,5785,9667,8425,21582,28133,24519
MYCTH_2298027,700,1160,1038,2008,2431,2154
MYCTH_2298028,545,876,914,687,823,739
MYCTH_2314011,13019,21592,21151,22849,27442,24344
MYCTH_2298031,492,967,967,1175,1379,1219
MYCTH_98303,899,1482,1333,6437,8091,7113
MYCTH_2298035,371,542,601,553,710,522
MYCTH_2298036,383,655,645,418,440,415
MYCTH_2132459,163,226,222,105,146,95
MYCTH_2298040,673,1009,971,984,1251,1263
MYCTH_2142250,248,353,271,271,302,321
MYCTH_2298042,1546,2580,2400,3446,3917,3444
MYCTH_2298045,1258,2182,2201,2602,2948,2297
MYCTH_2085895,1661,2809,2716,7846,9996,8003
MYCTH_2298049,248,371,387,364,500,406
MYCTH_74969,8341,14026,14304,16210,19267,16931
MYCTH_2298055,758,1285,1218,3502,4374,3799
MYCTH_2298057,187,328,249,640,376,301
MYCTH_74974,740,1121,1084,1922,2727,2080
MYCTH_98316,103,129,136,626,428,326
MYCTH_39317,467,706,756,1184,1997,1462
MYCTH_98318,84,131,111,159,260,255
MYCTH_2298064,6827,11324,11405,26398,34734,28648
MYCTH_2298071,25986,41565,39479,50233,64263,50137
MYCTH_2115670,132,201,175,499,717,402
MYCTH_2298080,655,1022,859,2990,3874,2868
MYCTH_2298082,30,76,43,45,89,77
MYCTH_2048131,0,0,2,4,0,18
MYCTH_2298084,690,1089,1029,2848,3486,2885
MYCTH_2298086,29,33,15,10,18,19
MYCTH_40928,224,363,377,634,805,713
MYCTH_2298090,541,839,769,1566,1957,1471
MYCTH_12171,297,513,417,852,1190,1023
MYCTH_2298093,1937,3438,3227,2710,3570,3178
MYCTH_2298096,1437,2387,2587,6824,8333,6712
MYCTH_98330,19,13,40,10,9,9
MYCTH_2298100,3290,4977,4487,12574,17915,14900
MYCTH_2298102,5059,8343,7558,25248,31471,28552
MYCTH_2298104,1409,2264,2450,2950,3979,3425
MYCTH_2314025,2458,4321,4132,2957,3936,3259
MYCTH_2298111,15570,27995,25526,31008,38028,32874
MYCTH_2298114,2127,3398,2926,7130,8923,7587
MYCTH_2298116,364,526,535,2024,2715,2319
MYCTH_2314027,1898,3043,2846,2896,3770,3268
MYCTH_2137429,233,360,418,283,384,381
MYCTH_2107611,23,26,36,20,16,17
MYCTH_2298121,1402,1969,1463,9925,13066,10716
MYCTH_109978,2436,4122,3687,9080,12545,10995
MYCTH_2314032,4843,7850,6740,43128,56539,42601
MYCTH_2298129,3126,5276,5023,4298,5373,4468
MYCTH_2132486,893,1488,1291,1647,2051,1768
MYCTH_2298133,1603,2783,2487,3501,4823,3679
MYCTH_2298134,1688,2911,2884,4092,5110,4218
MYCTH_2298136,88777,153588,139014,264209,345647,301554
MYCTH_2298141,662,1257,1183,3087,4492,3484
MYCTH_2298143,936,1587,1548,1086,1422,1240
MYCTH_2054541,366,571,553,550,759,618
MYCTH_2298145,505,763,783,1237,1505,1228
MYCTH_2298148,1048,1731,1430,6115,8311,7486
MYCTH_2298150,665,1271,1080,982,1224,1064
MYCTH_2298152,173,283,263,590,839,660
MYCTH_2053528,2,1,0,4,0,3
MYCTH_2298153,665,909,744,4975,6593,6215
MYCTH_2051156,31,38,45,66,57,62
MYCTH_2298160,1139,1727,1643,2774,3853,3164
MYCTH_2298163,201,368,335,522,722,464
MYCTH_2298167,3623,6048,5526,10073,13069,11209
MYCTH_2298170,661,1027,959,1934,2734,2152
MYCTH_2085975,962,1737,1495,2382,3234,2632
MYCTH_2298183,559,852,895,935,1082,852
MYCTH_2107631,34,36,28,24,30,12
MYCTH_2298190,1553,2419,2377,1927,2513,1938
MYCTH_2298194,363,586,475,1252,1742,1353
MYCTH_2123876,64,108,91,1619,2409,1983
MYCTH_2298196,313,561,637,2534,3162,2333
MYCTH_2298198,172,341,220,502,683,621
MYCTH_2298199,15643,26836,24406,24152,29912,25896
MYCTH_2050741,638,1081,996,1139,1728,1375
MYCTH_2298203,1542,2595,2486,2086,2723,2443
MYCTH_2298205,4441,7366,7465,13390,16810,13681
MYCTH_98369,73,130,100,239,538,359
MYCTH_2298215,618,1021,894,1431,1684,1569
MYCTH_2298216,373,656,603,547,658,623
MYCTH_2298217,934,1359,1348,3117,4078,3485
MYCTH_75070,305,499,515,102,183,113
MYCTH_2298219,1058,1791,1529,1240,1378,1035
MYCTH_61192,329,508,506,4424,3859,2404
MYCTH_2115734,806,1322,1105,1439,1757,1670
MYCTH_105405,8846,15182,14071,17378,22151,18791
MYCTH_2298226,2398,4045,3936,12477,16523,12930
MYCTH_2298228,1025,1621,1277,5536,6543,5296
MYCTH_2054145,908,1482,1448,2545,3131,2770
MYCTH_2298230,11170,19020,17824,32724,40506,34209
MYCTH_2298234,615,1084,977,1139,1705,1594
MYCTH_2115740,4,7,10,3,2,13
MYCTH_2107654,3,0,9,2,0,0
MYCTH_2298236,88,189,148,47,41,65
MYCTH_2298240,2292,3833,3776,8067,11040,8903
MYCTH_2298243,988,1701,1669,3657,4143,3334
MYCTH_2298245,641,951,786,1172,1375,1158
MYCTH_2298246,4032,6506,5964,23426,31406,24113
MYCTH_2298247,498,857,712,1197,1679,1471
MYCTH_2298248,490,736,650,1392,1654,1523
MYCTH_2298252,11316,18387,18309,25009,31875,28017
MYCTH_75107,11783,19675,18271,24045,30051,26780
MYCTH_2298256,449,708,602,2897,3596,3181
MYCTH_2298257,54,68,76,134,116,84
MYCTH_2137468,524,790,824,1282,1683,1193
MYCTH_2123911,386,717,597,4870,5029,4335
MYCTH_2298262,1281,2040,1854,5874,7857,5663
MYCTH_2298263,995,1630,1397,3607,5317,3766
MYCTH_2298271,496,649,592,1770,2242,2602
MYCTH_2298274,269,449,401,1019,1412,1288
MYCTH_2298276,256,479,452,1052,1112,931
MYCTH_2298281,483,803,812,2574,3627,2753
MYCTH_2050348,650,1024,942,1009,1148,1077
MYCTH_2298287,817,1230,1205,3335,5082,4640
MYCTH_2298288,1175,1932,1852,2759,3474,2872
MYCTH_2298290,1175,2119,1978,4613,5650,4695
MYCTH_89935,1,0,5,2,2,0
MYCTH_2298303,122,163,188,171,215,171
MYCTH_97932,208,374,377,234,231,225
MYCTH_39658,25,43,38,0,3,0
MYCTH_2123928,21,47,37,8,15,23
MYCTH_2298307,15,25,21,16,6,22
MYCTH_2298309,2529,4188,4140,3999,5273,4369
MYCTH_2298317,816,1168,1115,3091,3675,2721
MYCTH_2314075,2581,4357,4146,7295,8156,6569
MYCTH_2298329,1838,2817,2981,927,1023,974
MYCTH_2298331,143,198,199,236,338,237
MYCTH_2314077,164,242,208,466,396,387
MYCTH_2298333,666,1161,1130,940,1182,892
MYCTH_89922,0,0,0,0,1,0
MYCTH_60267,1141,1899,1807,5179,6554,4971
MYCTH_2298337,168,308,225,116,209,135
MYCTH_2298341,852,1489,1423,5921,6678,5536
MYCTH_2298342,1853,3363,2975,3818,5222,4077
MYCTH_2298343,79,149,83,687,1067,801
MYCTH_2298347,439,675,698,813,1100,952
MYCTH_2298349,1323,2103,1973,8757,10869,8457
MYCTH_2073485,868,1286,1224,2537,3208,2645
MYCTH_2298352,1377,2338,2329,1233,1486,1358
MYCTH_2298354,1287,2084,2160,3213,4057,3535
MYCTH_2298355,322,515,407,385,552,467
MYCTH_2298356,419,665,643,654,807,720
MYCTH_60238,1040,1701,1783,2652,2656,2125
MYCTH_2298360,530,916,855,645,790,821
MYCTH_2298363,3594,5619,4879,172,309,232
MYCTH_2298367,554,796,833,133,140,133
MYCTH_2298369,1119,1909,1783,1018,1345,1260
MYCTH_38558,106,219,198,116,133,114
MYCTH_2123955,72,123,122,51,35,55
MYCTH_2298375,1184,2119,2027,385,302,240
MYCTH_2298376,955,1455,1268,1588,1926,1639
MYCTH_2298378,3150,5133,4070,6070,7905,6469
MYCTH_2298380,8102,13983,13267,11616,15059,13467
MYCTH_2314087,85,142,131,228,285,171
MYCTH_2298384,3296,5769,5166,9501,12288,10684
MYCTH_2298386,9550,15586,15005,65497,81960,67943
MYCTH_74236,2174,3666,3091,9247,12733,10952
MYCTH_2298390,423,621,614,3221,3420,2695
MYCTH_109756,435,656,726,853,996,915
MYCTH_97899,67,122,127,84,144,115
MYCTH_2123970,35,47,38,6,3,8
MYCTH_2314092,3328,5540,6006,3520,4433,3898
MYCTH_86146,20018,34943,34579,9925,12293,11169
MYCTH_2298407,719,1151,1079,2829,3364,2926
MYCTH_t34,0,0,0,0,0,0
MYCTH_2298411,179,347,264,436,559,464
MYCTH_2298414,141,304,260,425,625,500
MYCTH_2298417,231,407,489,651,745,559
MYCTH_2132560,968,1563,1546,705,891,832
MYCTH_2298421,1421,2322,2337,3428,4687,3602
MYCTH_105072,5692,10022,8563,25274,32386,24385
MYCTH_2298428,243,435,345,533,664,551
MYCTH_2298430,580,1005,900,1261,1800,1464
MYCTH_2298433,2010,3248,3200,4883,6552,5676
MYCTH_2298434,953,1555,1377,2334,3039,2576
MYCTH_2298437,198,332,243,400,556,410
MYCTH_2298440,139,236,165,1140,1594,1117
MYCTH_2115815,478,855,642,2005,2757,2123
MYCTH_86143,755,1298,1271,3512,3935,3083
MYCTH_2115818,0,0,0,0,0,0
MYCTH_2298443,16,14,10,40,65,42
MYCTH_2298447,324,541,609,2470,3518,2666
MYCTH_39694,205,411,375,2279,2867,2203
MYCTH_89872,26,57,34,3078,3730,3135
MYCTH_40719,30,63,75,5083,6156,4793
MYCTH_2298452,920,1598,1545,20881,26068,22586
MYCTH_2086155,530,817,844,8515,10854,9028
MYCTH_2298455,51,69,45,309,409,260
MYCTH_60177,4002,6526,6021,7081,9059,7278
MYCTH_2298462,3786,6034,5978,12241,16815,13911
MYCTH_2298464,1007,1829,1724,1794,2251,1907
MYCTH_2298471,604,1029,857,2198,2986,2353
MYCTH_2298473,313,515,485,416,494,516
MYCTH_2298476,466,745,732,667,1060,861
MYCTH_2298478,503,840,818,616,822,779
MYCTH_2298479,818,1336,1109,4152,5159,4583
MYCTH_105063,1105,1842,1765,2824,3866,3105
MYCTH_2298482,1513,2311,2590,2272,2621,2558
MYCTH_2132573,607,1037,966,1328,1628,1458
MYCTH_2298487,3082,5472,5065,8772,11349,9593
MYCTH_2298488,64,84,80,844,952,855
MYCTH_2298494,1036,1724,1705,3049,3659,2543
MYCTH_2298497,20,16,32,123,100,95
MYCTH_2107761,4,4,13,6,0,2
MYCTH_2298499,57,77,81,320,406,307
MYCTH_2298502,311,512,369,464,588,517
MYCTH_97859,1503,2776,2209,5484,7039,6412
MYCTH_2298505,1335,2273,2031,4655,5411,4839
MYCTH_2298511,279,401,398,1918,2825,2189
MYCTH_2115844,75,120,62,110,227,184
MYCTH_2054232,0,0,0,2,0,0
MYCTH_2298514,144,222,193,1948,2369,1991
MYCTH_2298517,150,283,233,661,890,754
MYCTH_2298519,146,281,260,321,353,292
MYCTH_2298521,464,689,630,1226,1741,1480
MYCTH_2298524,1435,2440,2318,1564,2127,1792
MYCTH_2298528,865,1412,1451,2052,2707,2403
MYCTH_37094,366,661,614,857,1059,882
MYCTH_2298531,1191,1676,1511,3426,5328,4375
MYCTH_2298535,45,81,80,35,52,44
MYCTH_2073591,2550,4165,4024,6053,7771,6606
MYCTH_2298542,521,880,943,2028,2782,2254
MYCTH_2298544,41,72,84,257,270,251
MYCTH_2055951,161,251,260,1256,1715,1511
MYCTH_2298547,129,190,173,109,170,138
MYCTH_2298552,808,1348,1429,1681,2175,1908
MYCTH_2298553,474,781,722,1197,1741,1338
MYCTH_2298555,446,645,740,899,1191,995
MYCTH_2086212,1956,3395,3369,1936,2689,1921
MYCTH_2298561,1206,1950,1892,2434,2900,2811
MYCTH_2298562,1282,2072,1958,3228,4276,3714
MYCTH_2115868,403,570,599,448,604,576
MYCTH_2298565,915,1638,1492,1511,2044,1705
MYCTH_2298566,1650,2746,2537,2348,3149,3005
MYCTH_2029593,0,3,12,0,15,2
MYCTH_2298570,1576,2344,2396,3976,5317,3994
MYCTH_74126,2697,4390,4324,2173,3050,2508
MYCTH_2124049,1353,2141,2240,1696,2389,2173
MYCTH_2298578,708,939,842,1548,2313,1986
MYCTH_2298579,350,593,523,437,522,477
MYCTH_113138,240,369,294,1169,1513,1359
MYCTH_2314123,2984,4987,4584,9232,12184,9997
MYCTH_2298586,4514,6813,7023,13208,17232,14158
MYCTH_2314125,881,1443,1129,2505,3428,2932
MYCTH_2314126,7724,12923,11680,20572,26034,21405
MYCTH_2298590,267,396,403,498,673,534
MYCTH_2298593,844,1226,1153,4288,5966,5091
MYCTH_2298597,380,505,566,1153,1533,1228
MYCTH_2298599,1319,1887,1847,3817,5482,4144
MYCTH_2086248,3168,5252,4809,28273,37906,29609
MYCTH_2298606,854,1433,1177,3294,4096,3240
MYCTH_t16,0,0,0,3,0,0
MYCTH_37110,492,713,709,4807,6635,5583
MYCTH_2298612,543,873,908,1111,1524,1291
MYCTH_2298614,2830,5092,4928,10557,13146,11243
MYCTH_2073656,2075,3355,3078,5871,7026,6146
MYCTH_2298622,1607,2560,2526,5436,7143,5567
MYCTH_2314130,3104,5273,4977,15999,19198,16647
MYCTH_2298626,493,657,702,1400,1684,1446
MYCTH_2298631,374,604,627,933,1113,1038
MYCTH_2298636,588,970,926,1515,1839,1538
MYCTH_2298637,839,1332,1222,1764,2328,1642
MYCTH_2107812,10,19,15,2,9,8
MYCTH_2054491,330,607,622,804,1155,924
MYCTH_2298641,679,1240,1013,3129,4188,3563
MYCTH_2298645,1209,1812,1604,4317,5591,4464
MYCTH_2314136,2513,4033,3618,4718,6337,5318
MYCTH_2298652,631,920,883,2327,2849,2416
MYCTH_2298655,626,975,824,1598,1980,1874
MYCTH_2298656,365,513,431,4191,4605,3803
MYCTH_2298657,547,818,751,1599,1942,1718
MYCTH_2124085,447,726,572,1125,1670,1694
MYCTH_2298661,561,891,877,1334,1745,1516
MYCTH_2298663,4475,6784,6734,12499,15315,13279
MYCTH_74056,1678,2735,2686,5059,6909,5963
MYCTH_t33,0,16,19,0,1,1
MYCTH_2298666,3191,5436,5042,8002,10540,9396
MYCTH_2298669,1219,2151,1932,3116,3812,3020
MYCTH_2298672,1219,1961,1997,2452,3538,2910
MYCTH_2055700,137,234,214,154,230,262
MYCTH_2298680,813,1240,1242,2485,3489,2480
MYCTH_2124094,189,270,246,4286,5802,5110
MYCTH_2107828,568,918,841,3599,4605,3694
MYCTH_2298688,1851,3176,3078,13257,16744,13597
MYCTH_2054998,99,179,165,314,370,386
MYCTH_2298693,189,313,346,230,368,230
MYCTH_105006,806,1227,1004,3193,4652,4067
MYCTH_2298696,570,926,710,3076,4425,3454
MYCTH_2298702,1071,1578,1542,2355,3125,2436
MYCTH_2298705,685,1148,914,1117,1541,1261
MYCTH_59997,1547,2659,2432,2941,4350,3626
MYCTH_74026,177,295,232,418,502,392
MYCTH_2298709,140,242,165,168,256,183
MYCTH_2298711,4933,8008,7165,23366,31483,25534
MYCTH_2298714,442,754,649,1683,2528,1969
MYCTH_2051209,226,445,328,1001,1263,1163
MYCTH_2298716,1337,2103,2145,4669,5862,4707
MYCTH_2314145,468,793,644,303,487,423
MYCTH_2298717,543,894,740,3530,4639,3296
MYCTH_2298723,1192,2113,1872,2966,3907,3500
MYCTH_74015,444,734,706,848,1066,911
MYCTH_2314148,1024,1580,1554,4186,4099,3207
MYCTH_2052653,157,305,210,1651,1572,1267
MYCTH_2298729,1097,1718,1654,1941,2446,2099
MYCTH_2298731,255,478,433,453,616,485
MYCTH_2298732,389,693,583,900,1106,958
MYCTH_2298733,421,695,696,747,1007,780
MYCTH_2298734,759,1364,1179,3753,4629,4141
MYCTH_2314150,1875,2984,3069,4164,5160,4487
MYCTH_2298741,645,987,975,3117,4207,3368
MYCTH_2298743,638,985,965,1087,1400,1291
MYCTH_t32,1,0,0,2,0,1
MYCTH_2298745,2647,4443,4296,3459,4559,3856
MYCTH_2298749,13,25,8,56,74,94
MYCTH_2298750,4,6,1,15,40,35
MYCTH_97762,7,9,6,59,36,18
MYCTH_2298752,99,156,146,121,158,140
MYCTH_38704,58,103,89,10122,17334,13536
MYCTH_59946,581,998,979,1700,2441,1881
MYCTH_2050486,2,4,6,7,4,4
MYCTH_2298766,976,1678,1509,7564,9656,8062
MYCTH_2298770,149,242,183,1241,1463,1319
MYCTH_2314155,3222,5320,5458,5937,7791,6063
MYCTH_2298773,849,1250,1230,1691,2296,2053
MYCTH_2298783,1570,2535,2194,12849,13086,9976
MYCTH_2298784,1486,2320,2087,5171,6197,4993
MYCTH_2298789,1029,1555,1589,4086,5043,4207
MYCTH_2086391,6828,10839,9898,34508,42459,34605
MYCTH_2298795,710,921,881,4638,6092,5289
MYCTH_2298796,664,914,934,2002,2727,2308
MYCTH_2298798,81,72,50,1013,1128,844
MYCTH_2298799,38,61,43,276,426,292
MYCTH_2298800,654,1173,1043,2638,3592,2957
MYCTH_2298801,226,318,342,1267,1536,1275
MYCTH_2314160,2278,3606,2806,7087,8671,6804
MYCTH_t31,0,2,0,0,7,0
MYCTH_2298808,804,1239,1223,3454,4546,4064
MYCTH_2298809,202,345,370,782,951,794
MYCTH_2298813,835,1458,1251,3405,4327,3600
MYCTH_2132657,6028,9878,10263,11768,14769,12520
MYCTH_86076,4426,7519,6964,30383,35184,27675
MYCTH_2298820,1298,2074,1945,4499,4782,4137
MYCTH_2298824,284,554,508,463,621,596
MYCTH_2298825,406,679,554,1249,1648,1501
MYCTH_2298826,1285,2218,1926,5910,7823,6125
MYCTH_2124155,133,161,177,198,277,242
MYCTH_2298833,218,320,297,3632,4043,3546
MYCTH_2314164,25211,42134,38640,93358,119884,99986
MYCTH_2298840,361,519,484,1079,1410,1279
MYCTH_2298841,805,1291,1050,2249,3003,2375
MYCTH_2298844,1192,2000,1776,2494,3565,2874
MYCTH_38313,571,978,821,3296,4314,3240
MYCTH_2298848,149,287,304,205,233,149
MYCTH_2115983,91,153,162,96,92,104
MYCTH_2298852,22,29,6,596,782,640
MYCTH_113066,491,620,522,3580,4515,4032
MYCTH_2298860,1245,2173,2010,7849,10056,8233
MYCTH_2298863,278,402,360,3436,4803,4423
MYCTH_2298867,612,755,690,4020,6102,4725
MYCTH_2298870,319,540,487,690,965,762
MYCTH_2298873,344,523,490,823,1024,885
MYCTH_2298874,851,1377,1305,1365,1835,1634
MYCTH_2298875,54,64,50,420,640,489
MYCTH_2298876,851,1396,1379,1180,1609,1339
MYCTH_2037146,375,730,629,533,654,516
MYCTH_2124177,1032,1735,1379,1481,1929,1621
MYCTH_89710,228,367,400,380,440,382
MYCTH_2124179,21,30,29,4,23,11
MYCTH_2298881,1250,2033,1893,2592,3399,3065
MYCTH_2298883,393,607,628,1188,1497,1385
MYCTH_2049318,523,725,745,1342,2026,1784
MYCTH_104959,559,913,909,2128,2878,2462
MYCTH_2086451,738,1147,1114,1308,1825,1441
MYCTH_40310,18,35,34,21,48,21
MYCTH_2116000,139,193,151,219,376,304
MYCTH_2298890,32,40,17,166,224,148
MYCTH_2298893,160,258,193,197,203,164
MYCTH_2298894,443,707,604,4190,5293,4707
MYCTH_2298895,626,936,774,4991,6654,5318
MYCTH_2314176,2473,3876,3449,9929,12788,11106
MYCTH_97707,124,188,225,195,254,148
MYCTH_59853,292,434,405,628,939,692
MYCTH_2298906,2629,4448,3941,7995,10775,8960
MYCTH_2298909,598,997,972,3174,4631,4096
MYCTH_40367,157,256,261,509,633,569
MYCTH_2314181,1118,1732,1533,2008,2625,2226
MYCTH_2298914,480,772,746,1085,1534,1483
MYCTH_2298916,30,54,37,288,353,316
MYCTH_2298918,456,679,616,3521,5173,3666
MYCTH_2038387,642,1079,1305,1055,1127,890
MYCTH_2298920,764,1285,1206,1221,1707,1446
MYCTH_2298921,732,1095,998,3331,4635,3805
MYCTH_2298922,8827,15243,15640,30559,37238,31198
MYCTH_2086470,1515,2912,2732,2267,2868,2521
MYCTH_37752,173,272,276,783,820,763
MYCTH_2298926,691,1193,1020,5793,6989,5941
MYCTH_2053582,6,26,6,12,13,2
MYCTH_2298927,495,740,698,1071,1563,1269
MYCTH_2298928,39,60,50,99,85,87
MYCTH_2298929,252,335,257,2127,2745,2417
MYCTH_2107928,35,43,30,10,24,22
MYCTH_2298931,547,860,814,1187,1496,1312
MYCTH_2298934,516,759,848,903,1232,1066
MYCTH_2298937,353,546,520,966,1297,1111
MYCTH_73877,622,869,787,2180,2951,2459
MYCTH_2298940,55,67,49,227,321,176
MYCTH_2124216,43,85,106,35,18,24
MYCTH_2298945,1339,2168,1924,3336,4526,3603
MYCTH_104945,732,1204,1028,1456,1913,1680
MYCTH_2298951,18,42,40,101,192,155
MYCTH_2124220,94,183,162,94,166,211
MYCTH_2298952,234,414,426,681,793,600
MYCTH_2107938,219,362,316,1593,2028,1752
MYCTH_2298956,511,806,705,1970,2638,2024
MYCTH_2124224,130,223,196,202,280,213
MYCTH_2298958,1003,1527,1439,2102,2727,2509
MYCTH_2132689,1942,3276,3120,5139,6851,5356
MYCTH_89669,700,1260,1067,2081,2694,2386
MYCTH_2298968,28,31,49,269,462,397
MYCTH_2298970,31,51,24,893,1351,1190
MYCTH_2298973,978,1544,1443,1502,2004,1579
MYCTH_73867,1463,2206,1947,3634,4761,4031
MYCTH_2051835,863,1427,1394,1700,2283,1752
MYCTH_86049,801,1283,1118,1353,1910,1561
MYCTH_2298981,384,678,712,1954,2446,1970
MYCTH_2298982,966,1522,1593,2907,4000,3447
MYCTH_2298984,2856,4639,4455,5437,7054,5696
MYCTH_t17,0,0,0,0,0,0
MYCTH_2298987,1240,1817,1685,2994,3635,3212
MYCTH_2298988,903,1435,1493,2958,3967,3164
MYCTH_2298990,540,896,835,2700,3657,2715
MYCTH_104936,1265,1992,1846,9696,11247,8255
MYCTH_2298994,1593,2777,2634,5295,6828,5469
MYCTH_2298996,1529,2459,2393,1919,2584,2348
MYCTH_2298998,494,745,686,502,733,669
MYCTH_40012,316,394,314,2016,2738,1962
MYCTH_2299001,1422,2178,2013,4062,5302,4598
MYCTH_2299002,1199,1952,1824,4946,6578,6063
MYCTH_2086520,5577,9189,7807,32170,36061,31223
MYCTH_2299007,1055,1458,1637,4880,5148,3766
MYCTH_2299008,679,1066,898,3084,4166,3694
MYCTH_2299010,3757,6126,6023,4098,4992,4627
MYCTH_2299012,160,271,250,302,342,323
MYCTH_2299014,776,1355,1039,1735,2280,1987
MYCTH_2299018,1602,2873,2793,855,1171,1018
MYCTH_2299021,185,283,267,445,581,503
MYCTH_2107968,182,237,230,645,862,760
MYCTH_2299023,747,1200,950,4947,6388,4379
MYCTH_t30,0,0,0,0,0,0
MYCTH_2299025,85,99,63,2030,3013,2357
MYCTH_2299026,1060,1585,1517,3992,5347,4900
MYCTH_2314200,4512,8565,7670,4833,5907,4700
MYCTH_2299031,1612,2509,2187,2374,2913,2600
MYCTH_40930,707,1035,910,1551,1827,1393
MYCTH_2299032,1743,3079,2848,5291,6386,5359
MYCTH_2299034,206,297,288,560,646,625
MYCTH_2299035,207,297,271,1645,2598,2025
MYCTH_2299037,1222,2119,2252,1494,1822,1331
MYCTH_2299039,541,905,804,1433,2079,1731
MYCTH_2299040,931,1428,1503,1768,1907,1611
MYCTH_2299041,472,842,723,784,961,753
MYCTH_2299042,560,947,832,1478,1834,1575
MYCTH_2107979,60,103,116,198,227,213
MYCTH_2299043,525,948,797,2776,3745,2896
MYCTH_2314205,2843,4389,3875,4248,5448,4614
MYCTH_97642,1119,1906,1677,4479,5131,4193
MYCTH_109638,11365,19579,17920,69609,87506,65524
MYCTH_2299056,571,1002,962,834,1063,829
MYCTH_2299061,1750,2687,2500,4556,5970,4968
MYCTH_2299064,1080,1806,1807,2814,3863,3071
MYCTH_2299066,6,8,14,6,6,6
MYCTH_2299067,871,1434,1440,1085,1303,1157
MYCTH_2299068,266,481,480,804,991,753
MYCTH_2299070,308,619,569,379,487,476
MYCTH_2314212,558,911,838,721,1053,843
MYCTH_2142488,7070,11798,10789,17799,21960,18452
MYCTH_2124283,4,15,3,53,26,50
MYCTH_2116084,573,969,800,2186,2954,2326
MYCTH_2299077,268,434,388,1150,1663,1389
MYCTH_2299079,323,529,410,1901,2468,1885
MYCTH_2299081,698,985,1062,1572,2032,1731
MYCTH_2299084,471,645,632,874,1235,1114
MYCTH_2299088,2549,4066,4201,24616,31349,22529
MYCTH_2299089,900,1251,1185,7291,8643,6868
MYCTH_39591,702,1197,1064,1066,1399,1106
MYCTH_2299092,637,967,813,937,1420,1156
MYCTH_2299099,1576,2660,2508,4751,6228,5054
MYCTH_2299100,788,1198,1058,2934,4099,3139
MYCTH_112996,471,774,763,1577,2083,1630
MYCTH_40920,448,713,682,1779,2523,1394
MYCTH_2299107,1913,3103,3399,7359,9742,7559
MYCTH_2299109,323,512,494,885,1087,917
MYCTH_2299110,368,590,534,1371,1577,1534
MYCTH_2299111,313,493,515,222,489,405
MYCTH_89603,128,260,189,47808,63484,54332
MYCTH_2299115,819,1385,1286,1402,1877,1669
MYCTH_122893,744,1189,1062,3983,5300,4080
MYCTH_t29,0,0,0,0,0,0
MYCTH_97617,428,738,574,2761,3357,2720
MYCTH_2299123,5,9,2,269,316,261
MYCTH_2035701,89,151,168,245,347,231
MYCTH_2299125,4909,8453,8508,14307,18291,14970
MYCTH_2299128,105,237,208,147,213,248
MYCTH_2299129,1181,1926,1690,3558,4310,3978
MYCTH_2299133,268,409,443,1332,1483,1438
MYCTH_2299134,535,942,769,1774,2664,2084
MYCTH_2299136,1252,2031,1884,3965,4816,4335
MYCTH_2299137,369,575,574,2235,2199,1761
MYCTH_2299139,897,1368,1392,3663,3524,3292
MYCTH_2299142,230,396,385,1530,2036,1535
MYCTH_2051357,844,1308,1408,7343,9901,7820
MYCTH_2299145,424,684,656,601,721,569
MYCTH_2299147,973,1647,1335,4564,5587,4940
MYCTH_2299149,404,585,591,1593,2317,1728
MYCTH_2049301,124,203,130,824,1202,741
MYCTH_2299151,106,177,168,631,929,805
MYCTH_2299152,72,74,98,172,185,174
MYCTH_2299155,1017,1659,1452,4100,4235,3413
MYCTH_2116126,40,112,69,311,533,286
MYCTH_2299157,636,1104,1022,1945,2416,2179
MYCTH_2054578,6,9,12,4,6,0
MYCTH_104887,403,615,513,1482,1875,1920
MYCTH_2299158,224,369,273,2970,4544,3296
MYCTH_109620,18083,30614,27740,22907,29647,23643
MYCTH_2299167,715,1242,1015,2111,2747,2373
MYCTH_2050929,922,1371,1361,2350,2879,2343
MYCTH_2299172,391,649,554,327,408,328
