ID	Gene
KEY:NCU00003	NCU00003
KEY:NCU00004	NCU00004
KEY:NCU00005	NCU00005
KEY:NCU00006	NCU00006
KEY:NCU00007	NCU00007
KEY:NCU00008	NCU00008
KEY:NCU00009	NCU00009
KEY:NCU00010	NCU00010
KEY:NCU00011	NCU00011
KEY:NCU00013	NCU00013
KEY:NCU00014	NCU00014
KEY:NCU00015	NCU00015
KEY:NCU00017	NCU00017
KEY:NCU00018	NCU00018
KEY:NCU00019	NCU00019
KEY:NCU00021	NCU00021
KEY:NCU00022	NCU00022
KEY:NCU00023	NCU00023
KEY:NCU00024	NCU00024
KEY:NCU00025	NCU00025
KEY:NCU00026	NCU00026
KEY:NCU00027	NCU00027
KEY:NCU00028	NCU00028
KEY:NCU00029	NCU00029
KEY:NCU00030	NCU00030
KEY:NCU00031	NCU00031
KEY:NCU00032	NCU00032
KEY:NCU00033	NCU00033
KEY:NCU00034	NCU00034
KEY:NCU00035	NCU00035
KEY:NCU00037	NCU00037
KEY:NCU00038	NCU00038
KEY:NCU00039	NCU00039
KEY:NCU00040	NCU00040
KEY:NCU00041	NCU00041
KEY:NCU00042	NCU00042
KEY:NCU00043	NCU00043
KEY:NCU00045	NCU00045
KEY:NCU00046	NCU00046
KEY:NCU00047	NCU00047
KEY:NCU00048	NCU00048
KEY:NCU00050	NCU00050
KEY:NCU00051	NCU00051
KEY:NCU00052	NCU00052
KEY:NCU00054	NCU00054
KEY:NCU00055	NCU00055
KEY:NCU00056	NCU00056
KEY:NCU00057	NCU00057
KEY:NCU00059	NCU00059
KEY:NCU00060	NCU00060
KEY:NCU00061	NCU00061
KEY:NCU00064	NCU00064
KEY:NCU00065	NCU00065
KEY:NCU00066	NCU00066
KEY:NCU00067	NCU00067
KEY:NCU00068	NCU00068
KEY:NCU00069	NCU00069
KEY:NCU00070	NCU00070
KEY:NCU00071	NCU00071
KEY:NCU00072	NCU00072
KEY:NCU00073	NCU00073
KEY:NCU00074	NCU00074
KEY:NCU00075	NCU00075
KEY:NCU00076	NCU00076
KEY:NCU00077	NCU00077
KEY:NCU00078	NCU00078
KEY:NCU00079	NCU00079
KEY:NCU00080	NCU00080
KEY:NCU00081	NCU00081
KEY:NCU00082	NCU00082
KEY:NCU00083	NCU00083
KEY:NCU00084	NCU00084
KEY:NCU00085	NCU00085
KEY:NCU00086	NCU00086
KEY:NCU00087	NCU00087
KEY:NCU00088	NCU00088
KEY:NCU00089	NCU00089
KEY:NCU00090	NCU00090
KEY:NCU00091	NCU00091
KEY:NCU00092	NCU00092
KEY:NCU00093	NCU00093
KEY:NCU00095	NCU00095
KEY:NCU00096	NCU00096
KEY:NCU00097	NCU00097
KEY:NCU00099	NCU00099
KEY:NCU00100	NCU00100
KEY:NCU00101	NCU00101
KEY:NCU00102	NCU00102
KEY:NCU00103	NCU00103
KEY:NCU00104	NCU00104
KEY:NCU00105	NCU00105
KEY:NCU00106	NCU00106
KEY:NCU00107	NCU00107
KEY:NCU00108	NCU00108
KEY:NCU00109	NCU00109
KEY:NCU00110	NCU00110
KEY:NCU00111	NCU00111
KEY:NCU00112	NCU00112
KEY:NCU00114	NCU00114
KEY:NCU00115	NCU00115
KEY:NCU00116	NCU00116
KEY:NCU00117	NCU00117
KEY:NCU00118	NCU00118
KEY:NCU00119	NCU00119
KEY:NCU00120	NCU00120
KEY:NCU00121	NCU00121
KEY:NCU00122	NCU00122
KEY:NCU00123	NCU00123
KEY:NCU00124	NCU00124
KEY:NCU00125	NCU00125
KEY:NCU00126	NCU00126
KEY:NCU00127	NCU00127
KEY:NCU00128	NCU00128
KEY:NCU00129	NCU00129
KEY:NCU00130	NCU00130
KEY:NCU00132	NCU00132
KEY:NCU00133	NCU00133
KEY:NCU00134	NCU00134
KEY:NCU00135	NCU00135
KEY:NCU00136	NCU00136
KEY:NCU00137	NCU00137
KEY:NCU00138	NCU00138
KEY:NCU00142	NCU00142
KEY:NCU00143	NCU00143
KEY:NCU00144	NCU00144
KEY:NCU00145	NCU00145
KEY:NCU00146	NCU00146
KEY:NCU00147	NCU00147
KEY:NCU00148	NCU00148
KEY:NCU00149	NCU00149
KEY:NCU00150	NCU00150
KEY:NCU00151	NCU00151
KEY:NCU00152	NCU00152
KEY:NCU00153	NCU00153
KEY:NCU00154	NCU00154
KEY:NCU00155	NCU00155
KEY:NCU00157	NCU00157
KEY:NCU00158	NCU00158
KEY:NCU00159	NCU00159
KEY:NCU00160	NCU00160
KEY:NCU00161	NCU00161
KEY:NCU00162	NCU00162
KEY:NCU00163	NCU00163
KEY:NCU00164	NCU00164
KEY:NCU00166	NCU00166
KEY:NCU00167	NCU00167
KEY:NCU00168	NCU00168
KEY:NCU00169	NCU00169
KEY:NCU00170	NCU00170
KEY:NCU00171	NCU00171
KEY:NCU00172	NCU00172
KEY:NCU00173	NCU00173
KEY:NCU00175	NCU00175
KEY:NCU00176	NCU00176
KEY:NCU00177	NCU00177
KEY:NCU00178	NCU00178
KEY:NCU00179	NCU00179
KEY:NCU00180	NCU00180
KEY:NCU00181	NCU00181
KEY:NCU00182	NCU00182
KEY:NCU00183	NCU00183
KEY:NCU00184	NCU00184
KEY:NCU00185	NCU00185
KEY:NCU00186	NCU00186
KEY:NCU00187	NCU00187
KEY:NCU00188	NCU00188
KEY:NCU00189	NCU00189
KEY:NCU00192	NCU00192
KEY:NCU00193	NCU00193
KEY:NCU00194	NCU00194
KEY:NCU00195	NCU00195
KEY:NCU00196	NCU00196
KEY:NCU00197	NCU00197
KEY:NCU00198	NCU00198
KEY:NCU00199	NCU00199
KEY:NCU00200	NCU00200
KEY:NCU00201	NCU00201
KEY:NCU00202	NCU00202
KEY:NCU00203	NCU00203
KEY:NCU00204	NCU00204
KEY:NCU00205	NCU00205
KEY:NCU00206	NCU00206
KEY:NCU00207	NCU00207
KEY:NCU00208	NCU00208
KEY:NCU00209	NCU00209
KEY:NCU00210	NCU00210
KEY:NCU00211	NCU00211
KEY:NCU00212	NCU00212
KEY:NCU00213	NCU00213
KEY:NCU00214	NCU00214
KEY:NCU00215	NCU00215
KEY:NCU00216	NCU00216
KEY:NCU00218	NCU00218
KEY:NCU00219	NCU00219
KEY:NCU00220	NCU00220
KEY:NCU00221	NCU00221
KEY:NCU00222	NCU00222
KEY:NCU00223	NCU00223
KEY:NCU00224	NCU00224
KEY:NCU00225	NCU00225
KEY:NCU00226	NCU00226
KEY:NCU00227	NCU00227
KEY:NCU00229	NCU00229
KEY:NCU00230	NCU00230
KEY:NCU00231	NCU00231
KEY:NCU00232	NCU00232
KEY:NCU00233	NCU00233
KEY:NCU00234	NCU00234
KEY:NCU00236	NCU00236
KEY:NCU00237	NCU00237
KEY:NCU00238	NCU00238
KEY:NCU00239	NCU00239
KEY:NCU00240	NCU00240
KEY:NCU00241	NCU00241
KEY:NCU00242	NCU00242
KEY:NCU00243	NCU00243
KEY:NCU00244	NCU00244
KEY:NCU00245	NCU00245
KEY:NCU00246	NCU00246
KEY:NCU00247	NCU00247
KEY:NCU00248	NCU00248
KEY:NCU00249	NCU00249
KEY:NCU00250	NCU00250
KEY:NCU00251	NCU00251
KEY:NCU00252	NCU00252
KEY:NCU00253	NCU00253
KEY:NCU00254	NCU00254
KEY:NCU00257	NCU00257
KEY:NCU00258	NCU00258
KEY:NCU00259	NCU00259
KEY:NCU00260	NCU00260
KEY:NCU00261	NCU00261
KEY:NCU00262	NCU00262
KEY:NCU00263	NCU00263
KEY:NCU00264	NCU00264
KEY:NCU00265	NCU00265
KEY:NCU00267	NCU00267
KEY:NCU00268	NCU00268
KEY:NCU00269	NCU00269
KEY:NCU00270	NCU00270
KEY:NCU00271	NCU00271
KEY:NCU00272	NCU00272
KEY:NCU00273	NCU00273
KEY:NCU00274	NCU00274
KEY:NCU00275	NCU00275
KEY:NCU00276	NCU00276
KEY:NCU00277	NCU00277
KEY:NCU00278	NCU00278
KEY:NCU00279	NCU00279
KEY:NCU00280	NCU00280
KEY:NCU00281	NCU00281
KEY:NCU00282	NCU00282
KEY:NCU00283	NCU00283
KEY:NCU00284	NCU00284
KEY:NCU00285	NCU00285
KEY:NCU00287	NCU00287
KEY:NCU00288	NCU00288
KEY:NCU00289	NCU00289
KEY:NCU00290	NCU00290
KEY:NCU00291	NCU00291
KEY:NCU00292	NCU00292
KEY:NCU00293	NCU00293
KEY:NCU00294	NCU00294
KEY:NCU00295	NCU00295
KEY:NCU00296	NCU00296
KEY:NCU00297	NCU00297
KEY:NCU00298	NCU00298
KEY:NCU00299	NCU00299
KEY:NCU00300	NCU00300
KEY:NCU00301	NCU00301
KEY:NCU00302	NCU00302
KEY:NCU00303	NCU00303
KEY:NCU00304	NCU00304
KEY:NCU00305	NCU00305
KEY:NCU00306	NCU00306
KEY:NCU00307	NCU00307
KEY:NCU00308	NCU00308
KEY:NCU00309	NCU00309
KEY:NCU00310	NCU00310
KEY:NCU00311	NCU00311
KEY:NCU00312	NCU00312
KEY:NCU00313	NCU00313
KEY:NCU00314	NCU00314
KEY:NCU00315	NCU00315
KEY:NCU00316	NCU00316
KEY:NCU00317	NCU00317
KEY:NCU00318	NCU00318
KEY:NCU00319	NCU00319
KEY:NCU00320	NCU00320
KEY:NCU00321	NCU00321
KEY:NCU00322	NCU00322
KEY:NCU00324	NCU00324
KEY:NCU00325	NCU00325
KEY:NCU00326	NCU00326
KEY:NCU00327	NCU00327
KEY:NCU00329	NCU00329
KEY:NCU00330	NCU00330
KEY:NCU00331	NCU00331
KEY:NCU00332	NCU00332
KEY:NCU00333	NCU00333
KEY:NCU00334	NCU00334
KEY:NCU00335	NCU00335
KEY:NCU00336	NCU00336
KEY:NCU00337	NCU00337
KEY:NCU00338	NCU00338
KEY:NCU00339	NCU00339
KEY:NCU00340	NCU00340
KEY:NCU00343	NCU00343
KEY:NCU00344	NCU00344
KEY:NCU00345	NCU00345
KEY:NCU00346	NCU00346
KEY:NCU00347	NCU00347
KEY:NCU00348	NCU00348
KEY:NCU00349	NCU00349
KEY:NCU00350	NCU00350
KEY:NCU00351	NCU00351
KEY:NCU00352	NCU00352
KEY:NCU00353	NCU00353
KEY:NCU00354	NCU00354
KEY:NCU00355	NCU00355
KEY:NCU00356	NCU00356
KEY:NCU00357	NCU00357
KEY:NCU00358	NCU00358
KEY:NCU00359	NCU00359
KEY:NCU00360	NCU00360
KEY:NCU00361	NCU00361
KEY:NCU00362	NCU00362
KEY:NCU00363	NCU00363
KEY:NCU00364	NCU00364
KEY:NCU00365	NCU00365
KEY:NCU00366	NCU00366
KEY:NCU00367	NCU00367
KEY:NCU00368	NCU00368
KEY:NCU00369	NCU00369
KEY:NCU00370	NCU00370
KEY:NCU00371	NCU00371
KEY:NCU00372	NCU00372
KEY:NCU00373	NCU00373
KEY:NCU00375	NCU00375
KEY:NCU00376	NCU00376
KEY:NCU00377	NCU00377
KEY:NCU00378	NCU00378
KEY:NCU00379	NCU00379
KEY:NCU00380	NCU00380
KEY:NCU00382	NCU00382
KEY:NCU00384	NCU00384
KEY:NCU00385	NCU00385
KEY:NCU00386	NCU00386
KEY:NCU00387	NCU00387
KEY:NCU00388	NCU00388
KEY:NCU00389	NCU00389
KEY:NCU00391	NCU00391
KEY:NCU00392	NCU00392
KEY:NCU00395	NCU00395
KEY:NCU00396	NCU00396
KEY:NCU00397	NCU00397
KEY:NCU00398	NCU00398
KEY:NCU00399	NCU00399
KEY:NCU00400	NCU00400
KEY:NCU00401	NCU00401
KEY:NCU00403	NCU00403
KEY:NCU00404	NCU00404
KEY:NCU00405	NCU00405
KEY:NCU00406	NCU00406
KEY:NCU00407	NCU00407
KEY:NCU00408	NCU00408
KEY:NCU00409	NCU00409
KEY:NCU00410	NCU00410
KEY:NCU00411	NCU00411
KEY:NCU00412	NCU00412
KEY:NCU00413	NCU00413
KEY:NCU00414	NCU00414
KEY:NCU00415	NCU00415
KEY:NCU00416	NCU00416
KEY:NCU00417	NCU00417
KEY:NCU00418	NCU00418
KEY:NCU00419	NCU00419
KEY:NCU00420	NCU00420
KEY:NCU00421	NCU00421
KEY:NCU00422	NCU00422
KEY:NCU00423	NCU00423
KEY:NCU00424	NCU00424
KEY:NCU00425	NCU00425
KEY:NCU00426	NCU00426
KEY:NCU00427	NCU00427
KEY:NCU00428	NCU00428
KEY:NCU00430	NCU00430
KEY:NCU00431	NCU00431
KEY:NCU00432	NCU00432
KEY:NCU00434	NCU00434
KEY:NCU00435	NCU00435
KEY:NCU00436	NCU00436
KEY:NCU00437	NCU00437
KEY:NCU00438	NCU00438
KEY:NCU00439	NCU00439
KEY:NCU00440	NCU00440
KEY:NCU00441	NCU00441
KEY:NCU00442	NCU00442
KEY:NCU00443	NCU00443
KEY:NCU00444	NCU00444
KEY:NCU00445	NCU00445
KEY:NCU00446	NCU00446
KEY:NCU00447	NCU00447
KEY:NCU00448	NCU00448
KEY:NCU00449	NCU00449
KEY:NCU00450	NCU00450
KEY:NCU00451	NCU00451
KEY:NCU00453	NCU00453
KEY:NCU00454	NCU00454
KEY:NCU00455	NCU00455
KEY:NCU00456	NCU00456
KEY:NCU00457	NCU00457
KEY:NCU00458	NCU00458
KEY:NCU00459	NCU00459
KEY:NCU00461	NCU00461
KEY:NCU00462	NCU00462
KEY:NCU00463	NCU00463
KEY:NCU00464	NCU00464
KEY:NCU00465	NCU00465
KEY:NCU00466	NCU00466
KEY:NCU00467	NCU00467
KEY:NCU00468	NCU00468
KEY:NCU00469	NCU00469
KEY:NCU00470	NCU00470
KEY:NCU00471	NCU00471
KEY:NCU00472	NCU00472
KEY:NCU00473	NCU00473
KEY:NCU00474	NCU00474
KEY:NCU00475	NCU00475
KEY:NCU00476	NCU00476
KEY:NCU00477	NCU00477
KEY:NCU00478	NCU00478
KEY:NCU00480	NCU00480
KEY:NCU00481	NCU00481
KEY:NCU00483	NCU00483
KEY:NCU00484	NCU00484
KEY:NCU00485	NCU00485
KEY:NCU00486	NCU00486
KEY:NCU00487	NCU00487
KEY:NCU00488	NCU00488
KEY:NCU00489	NCU00489
KEY:NCU00490	NCU00490
KEY:NCU00491	NCU00491
KEY:NCU00492	NCU00492
KEY:NCU00493	NCU00493
KEY:NCU00494	NCU00494
KEY:NCU00495	NCU00495
KEY:NCU00496	NCU00496
KEY:NCU00497	NCU00497
KEY:NCU00498	NCU00498
KEY:NCU00499	NCU00499
KEY:NCU00500	NCU00500
KEY:NCU00501	NCU00501
KEY:NCU00502	NCU00502
KEY:NCU00503	NCU00503
KEY:NCU00504	NCU00504
KEY:NCU00505	NCU00505
KEY:NCU00506	NCU00506
KEY:NCU00509	NCU00509
KEY:NCU00510	NCU00510
KEY:NCU00512	NCU00512
KEY:NCU00513	NCU00513
KEY:NCU00515	NCU00515
KEY:NCU00516	NCU00516
KEY:NCU00517	NCU00517
KEY:NCU00518	NCU00518
KEY:NCU00519	NCU00519
KEY:NCU00520	NCU00520
KEY:NCU00521	NCU00521
KEY:NCU00522	NCU00522
KEY:NCU00523	NCU00523
KEY:NCU00524	NCU00524
KEY:NCU00525	NCU00525
KEY:NCU00526	NCU00526
KEY:NCU00527	NCU00527
KEY:NCU00528	NCU00528
KEY:NCU00529	NCU00529
KEY:NCU00530	NCU00530
KEY:NCU00531	NCU00531
KEY:NCU00532	NCU00532
KEY:NCU00533	NCU00533
KEY:NCU00534	NCU00534
KEY:NCU00535	NCU00535
KEY:NCU00536	NCU00536
KEY:NCU00537	NCU00537
KEY:NCU00538	NCU00538
KEY:NCU00541	NCU00541
KEY:NCU00542	NCU00542
KEY:NCU00545	NCU00545
KEY:NCU00547	NCU00547
KEY:NCU00548	NCU00548
KEY:NCU00549	NCU00549
KEY:NCU00550	NCU00550
KEY:NCU00551	NCU00551
KEY:NCU00552	NCU00552
KEY:NCU00553	NCU00553
KEY:NCU00554	NCU00554
KEY:NCU00556	NCU00556
KEY:NCU00557	NCU00557
KEY:NCU00558	NCU00558
KEY:NCU00559	NCU00559
KEY:NCU00560	NCU00560
KEY:NCU00561	NCU00561
KEY:NCU00562	NCU00562
KEY:NCU00563	NCU00563
KEY:NCU00564	NCU00564
KEY:NCU00565	NCU00565
KEY:NCU00566	NCU00566
KEY:NCU00567	NCU00567
KEY:NCU00568	NCU00568
KEY:NCU00569	NCU00569
KEY:NCU00570	NCU00570
KEY:NCU00571	NCU00571
KEY:NCU00572	NCU00572
KEY:NCU00573	NCU00573
KEY:NCU00574	NCU00574
KEY:NCU00575	NCU00575
KEY:NCU00576	NCU00576
KEY:NCU00577	NCU00577
KEY:NCU00578	NCU00578
KEY:NCU00579	NCU00579
KEY:NCU00580	NCU00580
KEY:NCU00581	NCU00581
KEY:NCU00582	NCU00582
KEY:NCU00583	NCU00583
KEY:NCU00584	NCU00584
KEY:NCU00585	NCU00585
KEY:NCU00586	NCU00586
KEY:NCU00587	NCU00587
KEY:NCU00589	NCU00589
KEY:NCU00590	NCU00590
KEY:NCU00591	NCU00591
KEY:NCU00592	NCU00592
KEY:NCU00593	NCU00593
KEY:NCU00594	NCU00594
KEY:NCU00595	NCU00595
KEY:NCU00596	NCU00596
KEY:NCU00597	NCU00597
KEY:NCU00598	NCU00598
KEY:NCU00599	NCU00599
KEY:NCU00600	NCU00600
KEY:NCU00602	NCU00602
KEY:NCU00603	NCU00603
KEY:NCU00604	NCU00604
KEY:NCU00605	NCU00605
KEY:NCU00606	NCU00606
KEY:NCU00607	NCU00607
KEY:NCU00608	NCU00608
KEY:NCU00609	NCU00609
KEY:NCU00611	NCU00611
KEY:NCU00614	NCU00614
KEY:NCU00616	NCU00616
KEY:NCU00617	NCU00617
KEY:NCU00618	NCU00618
KEY:NCU00619	NCU00619
KEY:NCU00620	NCU00620
KEY:NCU00621	NCU00621
KEY:NCU00622	NCU00622
KEY:NCU00623	NCU00623
KEY:NCU00624	NCU00624
KEY:NCU00627	NCU00627
KEY:NCU00628	NCU00628
KEY:NCU00629	NCU00629
KEY:NCU00630	NCU00630
KEY:NCU00631	NCU00631
KEY:NCU00632	NCU00632
KEY:NCU00633	NCU00633
KEY:NCU00634	NCU00634
KEY:NCU00635	NCU00635
KEY:NCU00636	NCU00636
KEY:NCU00638	NCU00638
KEY:NCU00640	NCU00640
KEY:NCU00641	NCU00641
KEY:NCU00642	NCU00642
KEY:NCU00643	NCU00643
KEY:NCU00644	NCU00644
KEY:NCU00645	NCU00645
KEY:NCU00646	NCU00646
KEY:NCU00648	NCU00648
KEY:NCU00649	NCU00649
KEY:NCU00650	NCU00650
KEY:NCU00651	NCU00651
KEY:NCU00652	NCU00652
KEY:NCU00653	NCU00653
KEY:NCU00654	NCU00654
KEY:NCU00655	NCU00655
KEY:NCU00656	NCU00656
KEY:NCU00657	NCU00657
KEY:NCU00658	NCU00658
KEY:NCU00659	NCU00659
KEY:NCU00660	NCU00660
KEY:NCU00662	NCU00662
KEY:NCU00663	NCU00663
KEY:NCU00664	NCU00664
KEY:NCU00665	NCU00665
KEY:NCU00666	NCU00666
KEY:NCU00667	NCU00667
KEY:NCU00668	NCU00668
KEY:NCU00669	NCU00669
KEY:NCU00670	NCU00670
KEY:NCU00671	NCU00671
KEY:NCU00673	NCU00673
KEY:NCU00674	NCU00674
KEY:NCU00675	NCU00675
KEY:NCU00676	NCU00676
KEY:NCU00677	NCU00677
KEY:NCU00678	NCU00678
KEY:NCU00679	NCU00679
KEY:NCU00680	NCU00680
KEY:NCU00681	NCU00681
KEY:NCU00682	NCU00682
KEY:NCU00684	NCU00684
KEY:NCU00685	NCU00685
KEY:NCU00687	NCU00687
KEY:NCU00688	NCU00688
KEY:NCU00689	NCU00689
KEY:NCU00690	NCU00690
KEY:NCU00691	NCU00691
KEY:NCU00692	NCU00692
KEY:NCU00693	NCU00693
KEY:NCU00694	NCU00694
KEY:NCU00695	NCU00695
KEY:NCU00696	NCU00696
KEY:NCU00697	NCU00697
KEY:NCU00698	NCU00698
KEY:NCU00699	NCU00699
KEY:NCU00700	NCU00700
KEY:NCU00701	NCU00701
KEY:NCU00704	NCU00704
KEY:NCU00705	NCU00705
KEY:NCU00706	NCU00706
KEY:NCU00707	NCU00707
KEY:NCU00708	NCU00708
KEY:NCU00709	NCU00709
KEY:NCU00710	NCU00710
KEY:NCU00711	NCU00711
KEY:NCU00712	NCU00712
KEY:NCU00713	NCU00713
KEY:NCU00714	NCU00714
KEY:NCU00715	NCU00715
KEY:NCU00716	NCU00716
KEY:NCU00717	NCU00717
KEY:NCU00718	NCU00718
KEY:NCU00719	NCU00719
KEY:NCU00720	NCU00720
KEY:NCU00721	NCU00721
KEY:NCU00722	NCU00722
KEY:NCU00723	NCU00723
KEY:NCU00724	NCU00724
KEY:NCU00725	NCU00725
KEY:NCU00726	NCU00726
KEY:NCU00727	NCU00727
KEY:NCU00728	NCU00728
KEY:NCU00729	NCU00729
KEY:NCU00730	NCU00730
KEY:NCU00732	NCU00732
KEY:NCU00733	NCU00733
KEY:NCU00734	NCU00734
KEY:NCU00735	NCU00735
KEY:NCU00736	NCU00736
KEY:NCU00737	NCU00737
KEY:NCU00738	NCU00738
KEY:NCU00739	NCU00739
KEY:NCU00740	NCU00740
KEY:NCU00741	NCU00741
KEY:NCU00742	NCU00742
KEY:NCU00743	NCU00743
KEY:NCU00744	NCU00744
KEY:NCU00745	NCU00745
KEY:NCU00746	NCU00746
KEY:NCU00747	NCU00747
KEY:NCU00748	NCU00748
KEY:NCU00749	NCU00749
KEY:NCU00751	NCU00751
KEY:NCU00752	NCU00752
KEY:NCU00753	NCU00753
KEY:NCU00754	NCU00754
KEY:NCU00755	NCU00755
KEY:NCU00756	NCU00756
KEY:NCU00757	NCU00757
KEY:NCU00758	NCU00758
KEY:NCU00759	NCU00759
KEY:NCU00760	NCU00760
KEY:NCU00761	NCU00761
KEY:NCU00762	NCU00762
KEY:NCU00763	NCU00763
KEY:NCU00764	NCU00764
KEY:NCU00765	NCU00765
KEY:NCU00766	NCU00766
KEY:NCU00768	NCU00768
KEY:NCU00770	NCU00770
KEY:NCU00771	NCU00771
KEY:NCU00772	NCU00772
KEY:NCU00773	NCU00773
KEY:NCU00774	NCU00774
KEY:NCU00775	NCU00775
KEY:NCU00776	NCU00776
KEY:NCU00777	NCU00777
KEY:NCU00778	NCU00778
KEY:NCU00779	NCU00779
KEY:NCU00780	NCU00780
KEY:NCU00781	NCU00781
KEY:NCU00782	NCU00782
KEY:NCU00783	NCU00783
KEY:NCU00784	NCU00784
KEY:NCU00786	NCU00786
KEY:NCU00787	NCU00787
KEY:NCU00788	NCU00788
KEY:NCU00789	NCU00789
KEY:NCU00790	NCU00790
KEY:NCU00792	NCU00792
KEY:NCU00793	NCU00793
KEY:NCU00794	NCU00794
KEY:NCU00795	NCU00795
KEY:NCU00796	NCU00796
KEY:NCU00797	NCU00797
KEY:NCU00798	NCU00798
KEY:NCU00799	NCU00799
KEY:NCU00800	NCU00800
KEY:NCU00801	NCU00801
KEY:NCU00802	NCU00802
KEY:NCU00803	NCU00803
KEY:NCU00804	NCU00804
KEY:NCU00805	NCU00805
KEY:NCU00806	NCU00806
KEY:NCU00807	NCU00807
KEY:NCU00808	NCU00808
KEY:NCU00809	NCU00809
KEY:NCU00810	NCU00810
KEY:NCU00811	NCU00811
KEY:NCU00812	NCU00812
KEY:NCU00813	NCU00813
KEY:NCU00814	NCU00814
KEY:NCU00817	NCU00817
KEY:NCU00818	NCU00818
KEY:NCU00819	NCU00819
KEY:NCU00821	NCU00821
KEY:NCU00822	NCU00822
KEY:NCU00823	NCU00823
KEY:NCU00824	NCU00824
KEY:NCU00825	NCU00825
KEY:NCU00826	NCU00826
KEY:NCU00827	NCU00827
KEY:NCU00828	NCU00828
KEY:NCU00829	NCU00829
KEY:NCU00830	NCU00830
KEY:NCU00831	NCU00831
KEY:NCU00832	NCU00832
KEY:NCU00833	NCU00833
KEY:NCU00834	NCU00834
KEY:NCU00835	NCU00835
