Gene	Pathway
NCU00008	Metabolic pathways
NCU00035	Metabolic pathways
NCU00055	Metabolic pathways
NCU00056	Metabolic pathways
NCU00067	Metabolic pathways
NCU00087	Metabolic pathways
NCU00106	Metabolic pathways
NCU00130	Metabolic pathways
NCU00135	Metabolic pathways
NCU00147	Metabolic pathways
NCU00150	Metabolic pathways
NCU00163	Metabolic pathways
NCU00168	Metabolic pathways
NCU00173	Metabolic pathways
NCU00177	Metabolic pathways
NCU00193	Metabolic pathways
NCU00194	Metabolic pathways
NCU00200	Metabolic pathways
NCU00203	Metabolic pathways
NCU00207	Metabolic pathways
NCU00260	Metabolic pathways
NCU00261	Metabolic pathways
NCU00269	Metabolic pathways
NCU00293	Metabolic pathways
NCU00302	Metabolic pathways
NCU00346	Metabolic pathways
NCU00355	Metabolic pathways
NCU00358	Metabolic pathways
NCU00369	Metabolic pathways
NCU00378	Metabolic pathways
NCU00385	Metabolic pathways
NCU00387	Metabolic pathways
NCU00409	Metabolic pathways
NCU00414	Metabolic pathways
NCU00418	Metabolic pathways
NCU00437	Metabolic pathways
NCU00446	Metabolic pathways
NCU00447	Metabolic pathways
NCU00461	Metabolic pathways
NCU00463	Metabolic pathways
NCU00466	Metabolic pathways
NCU00468	Metabolic pathways
NCU00484	Metabolic pathways
NCU00498	Metabolic pathways
NCU00502	Metabolic pathways
NCU00519	Metabolic pathways
NCU00523	Metabolic pathways
NCU00548	Metabolic pathways
NCU00549	Metabolic pathways
NCU00552	Metabolic pathways
NCU00554	Metabolic pathways
NCU00565	Metabolic pathways
NCU00567	Metabolic pathways
NCU00575	Metabolic pathways
NCU00581	Metabolic pathways
NCU00585	Metabolic pathways
NCU00591	Metabolic pathways
NCU00596	Metabolic pathways
NCU00602	Metabolic pathways
NCU00609	Metabolic pathways
NCU00629	Metabolic pathways
NCU00636	Metabolic pathways
NCU00643	Metabolic pathways
NCU00644	Metabolic pathways
NCU00649	Metabolic pathways
NCU00655	Metabolic pathways
NCU00656	Metabolic pathways
NCU00660	Metabolic pathways
NCU00667	Metabolic pathways
NCU00669	Metabolic pathways
NCU00678	Metabolic pathways
NCU00680	Metabolic pathways
NCU00709	Metabolic pathways
NCU00712	Metabolic pathways
NCU00720	Metabolic pathways
NCU00743	Metabolic pathways
NCU00762	Metabolic pathways
NCU00775	Metabolic pathways
NCU00776	Metabolic pathways
NCU00780	Metabolic pathways
NCU00792	Metabolic pathways
NCU00793	Metabolic pathways
NCU00799	Metabolic pathways
NCU00810	Metabolic pathways
NCU00837	Metabolic pathways
NCU00843	Metabolic pathways
NCU00891	Metabolic pathways
NCU00892	Metabolic pathways
NCU00893	Metabolic pathways
NCU00896	Metabolic pathways
NCU00904	Metabolic pathways
NCU00913	Metabolic pathways
NCU00924	Metabolic pathways
NCU00936	Metabolic pathways
NCU00943	Metabolic pathways
NCU00944	Metabolic pathways
NCU00959	Metabolic pathways
NCU00963	Metabolic pathways
NCU01004	Metabolic pathways
NCU01013	Metabolic pathways
NCU01047	Metabolic pathways
NCU01059	Metabolic pathways
NCU01083	Metabolic pathways
NCU01086	Metabolic pathways
NCU01103	Metabolic pathways
NCU01116	Metabolic pathways
NCU01119	Metabolic pathways
NCU01140	Metabolic pathways
NCU01141	Metabolic pathways
NCU01157	Metabolic pathways
NCU01163	Metabolic pathways
NCU01169	Metabolic pathways
NCU01175	Metabolic pathways
NCU01181	Metabolic pathways
NCU01195	Metabolic pathways
NCU01206	Metabolic pathways
NCU01207	Metabolic pathways
NCU01227	Metabolic pathways
NCU01258	Metabolic pathways
NCU01266	Metabolic pathways
NCU01270	Metabolic pathways
NCU01271	Metabolic pathways
NCU01300	Metabolic pathways
NCU01320	Metabolic pathways
NCU01328	Metabolic pathways
NCU01332	Metabolic pathways
NCU01333	Metabolic pathways
NCU01337	Metabolic pathways
NCU01348	Metabolic pathways
NCU01360	Metabolic pathways
NCU01371	Metabolic pathways
NCU01378	Metabolic pathways
NCU01402	Metabolic pathways
NCU01412	Metabolic pathways
NCU01417	Metabolic pathways
NCU01427	Metabolic pathways
NCU01428	Metabolic pathways
NCU01429	Metabolic pathways
NCU01439	Metabolic pathways
NCU01441	Metabolic pathways
NCU01446	Metabolic pathways
NCU01500	Metabolic pathways
NCU01517	Metabolic pathways
NCU01528	Metabolic pathways
NCU01546	Metabolic pathways
NCU01550	Metabolic pathways
NCU01553	Metabolic pathways
NCU01606	Metabolic pathways
NCU01632	Metabolic pathways
NCU01648	Metabolic pathways
NCU01652	Metabolic pathways
NCU01654	Metabolic pathways
NCU01657	Metabolic pathways
NCU01666	Metabolic pathways
NCU01667	Metabolic pathways
NCU01680	Metabolic pathways
NCU01692	Metabolic pathways
NCU01701	Metabolic pathways
NCU01728	Metabolic pathways
NCU01744	Metabolic pathways
NCU01753	Metabolic pathways
NCU01754	Metabolic pathways
NCU01765	Metabolic pathways
NCU01783	Metabolic pathways
NCU01786	Metabolic pathways
NCU01808	Metabolic pathways
NCU01816	Metabolic pathways
NCU01821	Metabolic pathways
NCU01830	Metabolic pathways
NCU01838	Metabolic pathways
NCU01853	Metabolic pathways
NCU01866	Metabolic pathways
NCU01870	Metabolic pathways
NCU01902	Metabolic pathways
NCU01904	Metabolic pathways
NCU01905	Metabolic pathways
NCU01906	Metabolic pathways
NCU01912	Metabolic pathways
NCU01932	Metabolic pathways
NCU01945	Metabolic pathways
NCU01962	Metabolic pathways
NCU01985	Metabolic pathways
NCU01993	Metabolic pathways
NCU02004	Metabolic pathways
NCU02005	Metabolic pathways
NCU02010	Metabolic pathways
NCU02034	Metabolic pathways
NCU02055	Metabolic pathways
NCU02083	Metabolic pathways
NCU02084	Metabolic pathways
NCU02090	Metabolic pathways
NCU02107	Metabolic pathways
NCU02109	Metabolic pathways
NCU02126	Metabolic pathways
NCU02127	Metabolic pathways
NCU02136	Metabolic pathways
NCU02137	Metabolic pathways
NCU02179	Metabolic pathways
NCU02193	Metabolic pathways
NCU02209	Metabolic pathways
NCU02226	Metabolic pathways
NCU02227	Metabolic pathways
NCU02235	Metabolic pathways
NCU02247	Metabolic pathways
NCU02250	Metabolic pathways
NCU02252	Metabolic pathways
NCU02255	Metabolic pathways
NCU02274	Metabolic pathways
NCU02291	Metabolic pathways
NCU02295	Metabolic pathways
NCU02296	Metabolic pathways
NCU02302	Metabolic pathways
NCU02322	Metabolic pathways
NCU02325	Metabolic pathways
NCU02333	Metabolic pathways
NCU02343	Metabolic pathways
NCU02361	Metabolic pathways
NCU02366	Metabolic pathways
NCU02368	Metabolic pathways
NCU02369	Metabolic pathways
NCU02373	Metabolic pathways
NCU02381	Metabolic pathways
NCU02395	Metabolic pathways
NCU02397	Metabolic pathways
NCU02407	Metabolic pathways
NCU02416	Metabolic pathways
NCU02430	Metabolic pathways
NCU02438	Metabolic pathways
NCU02450	Metabolic pathways
NCU02468	Metabolic pathways
NCU02472	Metabolic pathways
NCU02475	Metabolic pathways
NCU02476	Metabolic pathways
NCU02479	Metabolic pathways
NCU02481	Metabolic pathways
NCU02482	Metabolic pathways
NCU02502	Metabolic pathways
NCU02505	Metabolic pathways
NCU02514	Metabolic pathways
NCU02530	Metabolic pathways
NCU02534	Metabolic pathways
NCU02536	Metabolic pathways
NCU02541	Metabolic pathways
NCU02542	Metabolic pathways
NCU02564	Metabolic pathways
NCU02571	Metabolic pathways
NCU02583	Metabolic pathways
NCU02624	Metabolic pathways
NCU02629	Metabolic pathways
NCU02635	Metabolic pathways
NCU02639	Metabolic pathways
NCU02657	Metabolic pathways
NCU02663	Metabolic pathways
NCU02665	Metabolic pathways
NCU02677	Metabolic pathways
NCU02693	Metabolic pathways
NCU02702	Metabolic pathways
NCU02704	Metabolic pathways
NCU02712	Metabolic pathways
NCU02726	Metabolic pathways
NCU02727	Metabolic pathways
NCU02737	Metabolic pathways
NCU02746	Metabolic pathways
NCU02771	Metabolic pathways
NCU02777	Metabolic pathways
NCU02778	Metabolic pathways
NCU02785	Metabolic pathways
NCU02786	Metabolic pathways
NCU02797	Metabolic pathways
NCU02812	Metabolic pathways
NCU02829	Metabolic pathways
